rent_per_month,County,year,Accumulated_Rent_yearly
1239.191914145758,Albany,2025,14870.302969749095
1253.5061965694674,Albany,2026,29912.377328582705
1254.5987606323872,Albany,2027,44967.56245617135
1493.1003439480137,Albany,2028,62884.76658354751
1520.8401185918055,Albany,2029,81134.84800664918
1535.1544010162413,Albany,2030,99556.70081884407
1536.2469650781272,Albany,2031,117991.66439978158
1774.748548394631,Albany,2032,139288.64698051717
570.1427814320797,Allegany,2025,6841.713377184957
555.4175152765486,Allegany,2026,13506.723560503538
533.894540079838,Allegany,2027,19913.458041461592
635.6196071779218,Allegany,2028,27540.893327596656
627.7471507520823,Allegany,2029,35073.85913662164
613.0218845966521,Allegany,2030,42430.121751781466
591.4989093993312,Allegany,2031,49528.10866457344
693.2239764978673,Allegany,2032,57846.79638254785
1346.654102945167,Bronx,2025,16159.849235342004
1333.9218767725347,Bronx,2026,32166.91175661242
1306.5248584744038,Bronx,2027,47845.21005830527
1546.1623688415398,Bronx,2028,66399.15848440374
1548.2273913136007,Bronx,2029,84977.88718016696
1535.4951651410624,Bronx,2030,103403.8291618597
1508.098146841614,Bronx,2031,121501.00692395907
1747.7356572097606,Bronx,2032,142473.8348104762
786.4088085663675,Broome,2025,9436.90570279641
760.2576305516804,Broome,2026,18559.997269416577
719.5256301626675,Broome,2027,27194.304831368587
920.7546163753428,Broome,2028,38243.360227872705
909.3294874502174,Broome,2029,49155.31407727531
883.1783094353661,Broome,2030,59753.453790499705
842.4463090451391,Broome,2031,69862.80949904138
1043.675295258861,Broome,2032,82386.91304214772
642.6380728109006,Cattaraugus,2025,7711.656873730806
646.8475593160779,Cattaraugus,2026,15473.82758552374
645.6513455282858,Cattaraugus,2027,23221.643731863172
734.0057896887865,Cattaraugus,2028,32029.71320812861
743.6650909420971,Cattaraugus,2029,40953.69429943377
747.8745774473033,Cattaraugus,2030,49928.18922880141
746.6783636590601,Cattaraugus,2031,58888.329592710135
835.0328078199211,Cattaraugus,2032,68908.72328654918
788.7398618018883,Cayuga,2025,9464.87834162266
785.3000060556109,Cayuga,2026,18888.478414289988
773.745417361514,Cayuga,2027,28173.423422628155
897.6113770129766,Cayuga,2028,38944.75994678387
902.364378479566,Cayuga,2029,49773.132488538664
898.9245227332254,Cayuga,2030,60560.22676133737
887.3699340384516,Cayuga,2031,71208.66596979879
1011.235893690486,Cayuga,2032,83343.49669408462
637.5748359816255,Chautauqua,2025,7650.898031779506
617.256133856149,Chautauqua,2026,15057.971638053292
585.3838951636997,Chautauqua,2027,22082.578380017687
750.3284973069717,Chautauqua,2028,31086.52034770135
741.6947641730059,Chautauqua,2029,39986.85751777742
721.3760620475507,Chautauqua,2030,48643.37026234803
689.5038233541826,Chautauqua,2031,56917.41614259822
854.448425498209,Chautauqua,2032,67170.79724857672
907.7788358411506,Chemung,2025,10893.346030093806
920.7148954758848,Chemung,2026,21941.924775804422
928.0760353507768,Chemung,2027,33078.837200013746
1043.547525650989,Chemung,2028,45601.407507825614
1062.1204868083987,Chemung,2029,58346.8533495264
1075.056546443098,Chemung,2030,71247.53190684358
1082.417686317468,Chemung,2031,84236.54414265319
1197.8891766180914,Chemung,2032,98611.21426207028
701.1354256529669,Chenango,2025,8413.625107835604
686.3920520437105,Chenango,2026,16650.32973236013
658.8979950530525,Chenango,2027,24557.10567299676
846.4856732231084,Chenango,2028,34714.93375167406
844.5911577725402,Chenango,2029,44850.027644944545
829.8477841632637,Chenango,2030,54808.20105490371
802.3537271718031,Chenango,2031,64436.44578096535
989.9414053425312,Chenango,2032,76315.74264507572
773.3437339054826,Clinton,2025,9280.124806865791
701.9300522056463,Clinton,2026,17703.28543333355
605.550654430529,Clinton,2027,24969.893286499897
933.9000598412669,Clinton,2028,36176.6940045951
887.7549703540451,Clinton,2029,46829.75364884364
816.3412886537318,Clinton,2030,56625.84911268842
719.9618908765506,Clinton,2031,65265.39180320702
1048.3112962893229,Clinton,2032,77845.1273586789
1034.7590312319314,Columbia,2025,12417.108374783176
977.77384156304,Columbia,2026,24150.394473539658
891.5509097267059,Columbia,2027,34849.00539026013
1299.075200843847,Columbia,2028,50437.907800386296
1271.5818690185013,Columbia,2029,65696.8902286083
1214.596679351527,Columbia,2030,80272.05038082662
1128.3737475120818,Columbia,2031,93812.53535097161
1535.8980386316136,Columbia,2032,112243.31181455098
801.9349658949095,Cortland,2025,9623.219590738914
790.5098805306154,Cortland,2026,19109.3381571063
770.2190438453404,Cortland,2027,28351.966683250386
902.2270327107008,Cortland,2028,39178.6910757788
899.7327082277043,Cortland,2029,49975.48357451125
888.3076228635587,Cortland,2030,60635.175048873956
868.0167861775168,Cortland,2031,71051.37648300416
1000.0247750434517,Cortland,2032,83051.67378352558
854.8148079569224,Delaware,2025,10257.77769548307
922.5835848253006,Delaware,2026,21328.780713386677
996.1908657337328,Delaware,2027,33283.071102191476
962.1639207917246,Delaware,2028,44829.03815169217
1024.043590092121,Delaware,2029,57117.56123279762
1091.8123669603406,Delaware,2030,70219.3096363217
1165.4196478682688,Delaware,2031,84204.34541074093
1131.392702927075,Delaware,2032,97781.05784586584
1519.9908925256136,Dutchess,2025,18239.890710307365
1563.706941437689,Dutchess,2026,37004.37400755963
1598.64548287412,Dutchess,2027,56188.11980204907
1824.5157486053763,Dutchess,2028,78082.3087853136
1877.132511896193,Dutchess,2029,100607.89892806791
1920.848560808088,Dutchess,2030,123658.08165776497
1955.7871022436284,Dutchess,2031,147127.5268846885
2181.65736797559,Dutchess,2032,173307.41530039557
975.4702667325888,Erie,2025,11705.643200791066
979.438788417186,Erie,2026,23458.908661797297
971.3739350129132,Erie,2027,35115.39588195225
1160.584146407895,Erie,2028,49042.40563884699
1176.676029078688,Erie,2029,63162.517987791245
1180.6445507634126,Erie,2030,77330.2525969522
1172.5796973581362,Erie,2031,91401.20896524983
1361.7899087539076,Erie,2032,107742.68787029672
732.0871119510225,Essex,2025,8785.04534341227
708.9429508890639,Essex,2026,17292.360754081037
676.2430340271733,Essex,2027,25407.277162407117
822.7545618864326,Essex,2028,35280.33190504431
809.2285387936996,Essex,2029,44991.074370568705
786.0843777320562,Essex,2030,54424.08690335338
