ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,mortgage_rate,mortgage_rate_lower,mortgage_rate_upper,tax,tax_lower,tax_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,County
2015-11-30,114166.7352707719,101845.7704228772,114087.05392706118,114166.7352707719,114166.7352707719,-6201.423923997221,-6201.423923997221,-6201.423923997221,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,362.0626762441679,362.0626762441679,362.0626762441679,0.0,0.0,0.0,107965.31134677467,Albany
2015-12-31,114619.75074226757,101815.60187769715,113624.92319781083,114619.75074226757,114619.75074226757,-6583.285036704039,-6583.285036704039,-6583.285036704039,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,-19.7984364626503,-19.7984364626503,-19.7984364626503,0.0,0.0,0.0,108036.46570556353,Albany
2016-01-31,115072.76621376323,102433.59837592591,114833.65644019617,115072.76621376323,115072.76621376323,-6320.826392982091,-6320.826392982091,-6320.826392982091,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,242.66020725929744,242.66020725929744,242.66020725929744,0.0,0.0,0.0,108751.93982078113,Albany
2016-02-29,115466.50831362871,102767.81758114648,115050.40209936786,115466.50831362871,115466.50831362871,-6405.308299007912,-6405.308299007912,-6405.308299007912,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,158.17830123347667,158.17830123347667,158.17830123347667,0.0,0.0,0.0,109061.2000146208,Albany
2016-03-31,115887.40504107114,103093.1104741248,115759.63977598725,115887.40504107114,115887.40504107114,-6355.654984994667,-6355.654984994667,-6355.654984994667,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,207.83161524672218,207.83161524672218,207.83161524672218,0.0,0.0,0.0,109531.75005607647,Albany
2016-04-30,116294.72445472506,104283.17795749263,115923.73672180367,116294.72445472506,116294.72445472506,-6549.213018644967,-6549.213018644967,-6549.213018644967,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,14.273581596422323,14.273581596422323,14.273581596422323,0.0,0.0,0.0,109745.5114360801,Albany
2016-05-31,116715.62118216751,104107.29717082858,115967.78279607747,116715.62118216751,116715.62118216751,-6620.278747307469,-6620.278747307469,-6620.278747307469,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,-56.79214706608008,-56.79214706608008,-56.79214706608008,0.0,0.0,0.0,110095.34243486004,Albany
2016-06-30,117096.28576285811,104658.02747637816,116862.998590049,117096.28576285811,117096.28576285811,-6410.997425682796,-6410.997425682796,-6410.997425682796,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,152.48917455859166,152.48917455859166,152.48917455859166,0.0,0.0,0.0,110685.28833717531,Albany
2016-07-31,117489.63916290506,104635.48363870446,117013.34789485963,117489.63916290506,117489.63916290506,-6530.261973730281,-6530.261973730281,-6530.261973730281,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,33.22462651110744,33.22462651110744,33.22462651110744,0.0,0.0,0.0,110959.37718917479,Albany
2016-08-31,117882.99256295203,105623.32425923379,117208.03789708596,117882.99256295203,117882.99256295203,-6777.091515219548,-6777.091515219548,-6777.091515219548,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,-213.60491497815786,-213.60491497815786,-213.60491497815786,0.0,0.0,0.0,111105.90104773248,Albany
2016-09-30,118263.65714364262,104674.64653485394,116660.22734165024,118263.65714364262,118263.65714364262,-7628.521022601724,-7628.521022601724,-7628.521022601724,-6563.486600241389,-6563.486600241389,-6563.486600241389,-3793.434181819064,-3793.434181819064,-3793.434181819064,-2770.0524184223245,-2770.0524184223245,-2770.0524184223245,-1065.0344223603354,-1065.0344223603354,-1065.0344223603354,0.0,0.0,0.0,110635.1361210409,Albany
