County,YearNum,medianHousePrice
Albany,2015,105465.81334028767
Albany,2016,110701.56854228057
Albany,2017,115060.59754110295
Albany,2018,119212.5481390188
Albany,2019,123973.00204458389
Albany,2020,130354.21501659449
Albany,2021,139237.89717190064
Albany,2022,151210.1051789052
Albany,2023,166864.4020910822
Albany,2024,185142.41864963807
Albany,2025,203602.9837904815
Albany,2026,222059.07764029715
Albany,2027,240515.16862492682
Albany,2028,259017.0695232499
Albany,2029,277477.6346640933
Albany,2030,293557.09462136455
Bronx,2015,158661.13917954674
Bronx,2016,170313.71230421824
Bronx,2017,182324.49461285796
Bronx,2018,193801.16024018227
Bronx,2019,203490.04521750202
Bronx,2020,210023.7280063297
Bronx,2021,212266.19982998396
Bronx,2022,213944.49752752078
Bronx,2023,221853.55823770716
Bronx,2024,234215.90356516265
Bronx,2025,246914.52315246643
Bronx,2026,259613.4979188159
Bronx,2027,272312.47797341296
Bronx,2028,285046.5125172744
Bronx,2029,297745.1321045782
Bronx,2030,308832.0747118148
Broome,2015,51899.69756262666
Broome,2016,53828.0802487467
Broome,2017,54838.30804298291
Broome,2018,55979.378981974696
Broome,2019,58429.085539780375
Broome,2020,63339.46508558558
Broome,2021,71305.6979785288
Broome,2022,81018.75058734353
Broome,2023,90072.26295042956
Broome,2024,98487.71362105483
Broome,2025,106791.34545029626
Broome,2026,115106.8346706388
Broome,2027,123422.35364944831
Broome,2028,131772.74226455585
Broome,2029,140076.37409379726
Broome,2030,147234.34651435982
Cattaraugus,2015,78087.36019702292
Cattaraugus,2016,84188.84806026863
Cattaraugus,2017,90195.78413704644
Cattaraugus,2018,96448.72949536213
Cattaraugus,2019,103137.69866919884
Cattaraugus,2020,110106.40204815869
Cattaraugus,2021,116427.9060214681
Cattaraugus,2022,121092.20238241968
Cattaraugus,2023,123232.73889504334
Cattaraugus,2024,123506.94686167903
Cattaraugus,2025,123602.59583893849
Cattaraugus,2026,123705.9460223237
Cattaraugus,2027,123809.34356909414
Cattaraugus,2028,123918.78525589571
Cattaraugus,2029,124014.43423315529
Cattaraugus,2030,124721.04689218354
Cayuga,2015,102955.16392363574
Cayuga,2016,105850.51154057511
Cayuga,2017,107458.15820090189
Cayuga,2018,110327.16304964008
Cayuga,2019,117280.04107632152
Cayuga,2020,129023.26552227321
Cayuga,2021,141208.52929752006
Cayuga,2022,152806.91085178225
Cayuga,2023,163574.36207432728
Cayuga,2024,173622.53270340853
Cayuga,2025,183563.71097475
Cayuga,2026,193505.38343742248
Cayuga,2027,203447.0532135394
Cayuga,2028,213418.366481151
Cayuga,2029,223359.54475249248
Cayuga,2030,231871.61349125014
Chautauqua,2015,74404.03891378157
Chautauqua,2016,79368.77282537904
Chautauqua,2017,84023.0397569735
Chautauqua,2018,90011.21556237928
Chautauqua,2019,97253.1378873188
Chautauqua,2020,105464.72084875253
Chautauqua,2021,114450.68017238809
Chautauqua,2022,123464.7593213499
Chautauqua,2023,131762.9112215217
Chautauqua,2024,139434.6698648739
Chautauqua,2025,147022.44825284174
Chautauqua,2026,154611.74929687954
Chautauqua,2027,162201.05239090754
Chautauqua,2028,169813.38247178574
Chautauqua,2029,177401.1608597536
Chautauqua,2030,183794.11488716395
Chemung,2015,52456.56523346962
Chemung,2016,55241.45069495347
Chemung,2017,58489.74228095012
Chemung,2018,61538.89942172481
Chemung,2019,64466.071179552666
Chemung,2020,67818.28793775245
Chemung,2021,71501.17060885056
Chemung,2022,75199.10207849588
Chemung,2023,78560.66976630299
Chemung,2024,81577.99505169984
Chemung,2025,84523.23716137871
Chemung,2026,87482.9441656856
Chemung,2027,90442.73706045757
Chemung,2028,93423.33034027401
Chemung,2029,96368.57244995306
Chemung,2030,100542.52187350445
Clinton,2015,73081.89018286673
Clinton,2016,77594.20005993934
Clinton,2017,81708.71113305418
Clinton,2018,85360.95833251871
Clinton,2019,90609.2864028827
Clinton,2020,98047.37846187613
Clinton,2021,106749.22381850037
Clinton,2022,115315.77561968252
Clinton,2023,122566.49704966131
Clinton,2024,128662.16538413503
Clinton,2025,134605.89773944576
Clinton,2026,140562.6553718076
Clinton,2027,146519.4454723502
Clinton,2028,152505.70819452257
Clinton,2029,158449.4405498332
Clinton,2030,163671.13674608013
Columbia,2015,122137.90273123572
Columbia,2016,136589.1636110471
Columbia,2017,152153.5718227083
Columbia,2018,167503.90243418748
Columbia,2019,185765.30564355373
Columbia,2020,208953.73728295523
Columbia,2021,235652.7363915163
Columbia,2022,262912.8810216574
Columbia,2023,288936.10913392826
Columbia,2024,313693.54480126203
Columbia,2025,338242.00264451007
Columbia,2026,362794.10051261913
Columbia,2027,387346.21920717176
Columbia,2028,411972.61512040906
Columbia,2029,436521.0729636571
Columbia,2030,457833.620679581
Cortland,2015,64729.60994493901
Cortland,2016,69124.47432559436
Cortland,2017,73590.32746958833
Cortland,2018,78304.28896065481
Cortland,2019,83309.71008125256
Cortland,2020,88897.40821510646
Cortland,2021,95084.27875037555
Cortland,2022,101444.60771416164
Cortland,2023,107815.71202729677
Cortland,2024,114469.70439463783
Cortland,2025,121167.53314465669
Cortland,2026,127855.6286335453
Cortland,2027,134543.70841939794
Cortland,2028,141239.64747598246
Cortland,2029,147937.47622600134
Cortland,2030,153852.22711932
Dutchess,2015,120001.11740215476
Dutchess,2016,130262.96209738283
Dutchess,2017,140356.942324193
Dutchess,2018,150692.50851382062
Dutchess,2019,161628.1288247399
Dutchess,2020,173425.3060785229
Dutchess,2021,186082.57182595436
Dutchess,2022,199511.16827399516
Dutchess,2023,213685.1956046061
