RegionID,SizeRank,RegionName,RegionType,StateName,Date,PriceValue
394425,50,"Buffalo, NY",msa,NY,2015-07-31,1087.0707571497237
395031,52,"Rochester, NY",msa,NY,2015-07-31,1101.5335612462543
394308,64,"Albany, NY",msa,NY,2015-07-31,1318.9403233896387
845159,86,"Poughkeepsie, NY",msa,NY,2015-07-31,1665.118977677184
395143,91,"Syracuse, NY",msa,NY,2015-07-31,
395179,169,"Utica, NY",msa,NY,2015-07-31,
394387,195,"Binghamton, NY",msa,NY,2015-07-31,
394748,241,"Kingston, NY",msa,NY,2015-07-31,
394719,328,"Jamestown, NY",msa,NY,2015-07-31,
394633,331,"Glens Falls, NY",msa,NY,2015-07-31,
395213,351,"Watertown, NY",msa,NY,2015-07-31,
394709,376,"Ithaca, NY",msa,NY,2015-07-31,
394501,413,"Corning, NY",msa,NY,2015-07-31,
394568,432,"Elmira, NY",msa,NY,2015-07-31,
394350,464,"Auburn, NY",msa,NY,2015-07-31,
394939,542,"Oneonta, NY",msa,NY,2015-07-31,
394913,1,"New York, NY",msa,NY,2015-08-31,2056.8405696873565
394425,50,"Buffalo, NY",msa,NY,2015-08-31,1092.1708193054455
395031,52,"Rochester, NY",msa,NY,2015-08-31,1088.444673675866
394308,64,"Albany, NY",msa,NY,2015-08-31,1328.8714791712478
845159,86,"Poughkeepsie, NY",msa,NY,2015-08-31,1668.900331515436
395143,91,"Syracuse, NY",msa,NY,2015-08-31,
395179,169,"Utica, NY",msa,NY,2015-08-31,
394387,195,"Binghamton, NY",msa,NY,2015-08-31,
394748,241,"Kingston, NY",msa,NY,2015-08-31,
394719,328,"Jamestown, NY",msa,NY,2015-08-31,
394633,331,"Glens Falls, NY",msa,NY,2015-08-31,
395213,351,"Watertown, NY",msa,NY,2015-08-31,
394709,376,"Ithaca, NY",msa,NY,2015-08-31,
394501,413,"Corning, NY",msa,NY,2015-08-31,
394568,432,"Elmira, NY",msa,NY,2015-08-31,
394350,464,"Auburn, NY",msa,NY,2015-08-31,
394939,542,"Oneonta, NY",msa,NY,2015-08-31,
394913,1,"New York, NY",msa,NY,2015-09-30,2058.337525044444
394425,50,"Buffalo, NY",msa,NY,2015-09-30,1098.555165955005
395031,52,"Rochester, NY",msa,NY,2015-09-30,1086.5392477287617
394308,64,"Albany, NY",msa,NY,2015-09-30,1317.0948893918028
845159,86,"Poughkeepsie, NY",msa,NY,2015-09-30,1673.825351369946
395143,91,"Syracuse, NY",msa,NY,2015-09-30,
395179,169,"Utica, NY",msa,NY,2015-09-30,
394387,195,"Binghamton, NY",msa,NY,2015-09-30,
394748,241,"Kingston, NY",msa,NY,2015-09-30,
394719,328,"Jamestown, NY",msa,NY,2015-09-30,
394633,331,"Glens Falls, NY",msa,NY,2015-09-30,
395213,351,"Watertown, NY",msa,NY,2015-09-30,
394709,376,"Ithaca, NY",msa,NY,2015-09-30,
394501,413,"Corning, NY",msa,NY,2015-09-30,
394568,432,"Elmira, NY",msa,NY,2015-09-30,
394350,464,"Auburn, NY",msa,NY,2015-09-30,
394939,542,"Oneonta, NY",msa,NY,2015-09-30,
394913,1,"New York, NY",msa,NY,2015-10-31,2059.297615758498
394425,50,"Buffalo, NY",msa,NY,2015-10-31,1084.0831516802211
395031,52,"Rochester, NY",msa,NY,2015-10-31,1088.6402842894636
394308,64,"Albany, NY",msa,NY,2015-10-31,1300.0923955872513
845159,86,"Poughkeepsie, NY",msa,NY,2015-10-31,1678.6980876073137
395143,91,"Syracuse, NY",msa,NY,2015-10-31,
395179,169,"Utica, NY",msa,NY,2015-10-31,
394387,195,"Binghamton, NY",msa,NY,2015-10-31,
394748,241,"Kingston, NY",msa,NY,2015-10-31,
394719,328,"Jamestown, NY",msa,NY,2015-10-31,
394633,331,"Glens Falls, NY",msa,NY,2015-10-31,
395213,351,"Watertown, NY",msa,NY,2015-10-31,
394709,376,"Ithaca, NY",msa,NY,2015-10-31,
394501,413,"Corning, NY",msa,NY,2015-10-31,
394568,432,"Elmira, NY",msa,NY,2015-10-31,
394350,464,"Auburn, NY",msa,NY,2015-10-31,
394939,542,"Oneonta, NY",msa,NY,2015-10-31,
394913,1,"New York, NY",msa,NY,2015-11-30,2062.2217864274407
394425,50,"Buffalo, NY",msa,NY,2015-11-30,1076.7212935408938
395031,52,"Rochester, NY",msa,NY,2015-11-30,1105.9347680706455
394308,64,"Albany, NY",msa,NY,2015-11-30,1290.773003318169
845159,86,"Poughkeepsie, NY",msa,NY,2015-11-30,1669.4394294348076
395143,91,"Syracuse, NY",msa,NY,2015-11-30,
395179,169,"Utica, NY",msa,NY,2015-11-30,
394387,195,"Binghamton, NY",msa,NY,2015-11-30,
394748,241,"Kingston, NY",msa,NY,2015-11-30,
394719,328,"Jamestown, NY",msa,NY,2015-11-30,
394633,331,"Glens Falls, NY",msa,NY,2015-11-30,
395213,351,"Watertown, NY",msa,NY,2015-11-30,
394709,376,"Ithaca, NY",msa,NY,2015-11-30,
394501,413,"Corning, NY",msa,NY,2015-11-30,
