County,Buy_NPV,Rent_NPV,Buy_IRR,Rent_IRR,Buy_Eligible
Albany,-231309.72924592727,-171617.2432614833,0.01691475490947658,,True
Allegany,-122046.84098137815,-112947.03351360632,0.010323943345017739,,True
Bronx,-268099.2785410906,-201255.74559293478,0.022727840656907583,,True
Broome,-153787.59539948078,-131286.9384570938,0.013469346879903199,,True
Cattaraugus,-131456.87507916478,-113764.4131227958,0.012115499883672776,,True
Cayuga,-163081.35288293648,-126591.91657509372,0.013022279117621327,,True
Chautauqua,-128387.48828122707,-113653.04433628611,0.012437147338941523,,True
Chemung,-148376.19663753372,-133958.93939064245,0.012592614719239226,,True
Chenango,-133544.54833601337,-117371.2680096563,0.012687210156929085,,True
Clinton,-150095.16135481262,-138010.41868951148,0.015547072101893988,,True
Columbia,-214089.95284526199,-162677.6469981671,0.019248127568554985,,True
Cortland,-166380.00396029194,-128743.30260863152,0.011972430978253845,,True
Delaware,-136755.22305597863,-124153.7681944121,0.017914498316209837,,True
Dutchess,-322014.6994364646,-209940.95481244876,0.016539658606979923,,True
Erie,-170868.49856305018,-138222.73754852565,0.014289575087283124,,True
Essex,-150249.65971933887,-146909.95613239237,0.017625380780729172,,True
Franklin,-134306.33002020582,-123342.59712020206,0.014462417243327197,,True
Fulton,-145467.94302930383,-132244.7385315464,0.014241447863533097,,True
Genesee,-162519.31241371657,-133373.5901094151,0.012125269153817397,,True
Greene,-9.226243395926225e+57,-156307.07264889756,,,True
Hamilton,-123164.59648574927,-123466.44536859822,0.022111777150250367,,True
Herkimer,-134865.597446017,-116436.15892254713,0.013611676387936367,,True
Jefferson,-159567.07917674552,-174567.2301956089,0.016646827409292797,,True
Kings,-327992.1776567472,-230110.36730577477,0.02599228908665885,,True
Lewis,-134632.84883400958,-130044.50298841656,0.01636020320492859,,True
Livingston,-173242.77556950483,-134053.20008816858,0.013197097898321353,,True
Madison,-176794.96762861416,-133762.73623677983,0.013294260624038268,,True
Monroe,-200163.61520588523,-154661.83146477758,0.01300815354091478,,True
Montgomery,-156300.37360690284,-131147.090745091,0.012164099781961646,,True
Nassau,-445370.0095074734,-295309.60943509825,0.018310225407508485,,True
New York,-335445.2942974107,-286253.04887832014,0.03079918315205199,,True
Niagara,-160308.8801293817,-121127.59385723188,0.012584407276961418,,True
Oneida,-157962.39030560997,-131243.6209379249,0.01358336498970747,,True
Onondaga,-190927.26512931817,-146759.39688090657,0.013424405488758673,,True
Ontario,-187045.27077732747,-150747.05013486653,0.014716627732697996,,True
Orange,-333748.35797540506,-214077.30321175937,0.015064674806626321,,True
Orleans,-166439.44380205404,-120465.38093955927,0.009346672333044426,,True
Oswego,-158579.88922372664,-133825.87360434214,0.010366331797071693,,True
Otsego,-144716.8767735234,-143813.70190976304,0.01815318747363004,,True
Putnam,-406560.28966296604,-234689.65467862063,0.01679976520728932,,True
Queens,-283360.8112277398,-257110.63080024617,0.0249609547815004,,True
Rensselaer,-229432.31707677673,-162901.78927142042,0.01490295197516156,,True
Richmond,-351771.66452056414,-218905.70158568685,0.021607270670097378,,True
Rockland,-434759.3322047407,-250537.23474449466,0.017886460878791866,,True
Saratoga,-238679.51194319513,-186624.07609193795,0.018021581858684632,,True
Schenectady,-9.226243395926225e+57,-157984.23162728612,,,True
Schoharie,-200012.7131198888,-136746.02114838557,0.015938317489015086,,True
Schuyler,-135558.1597283254,-124033.35328121246,0.014565748631756747,,True
Seneca,-150355.6622194162,-133746.79614640123,0.01175198080068629,,True
St. Lawrence,-134600.65624177587,-129220.30372701299,0.012158863716011936,,True
Steuben,-135666.47513771566,-122767.1448373145,0.012172116402092481,,True
Suffolk,-1.845248679185245e+58,-290311.2579909299,,,True
Sullivan,-190381.83647072507,-156228.78728887977,0.016439958373750452,,True
Tioga,-152870.00327725333,-121605.17472825616,0.013954604785950009,,True
Tompkins,-208475.2927093698,-185883.37049123956,0.01569192459348523,,True
Ulster,-249813.70226899066,-188395.9703371743,0.01700040100039768,,True
Warren,-187867.1294913283,-159934.33430138693,0.01838943745740962,,True
Washington,-179308.8285019021,-149187.4423737205,0.0153951724485768,,True
Wayne,-171371.3614129283,-130402.29450095638,0.012049019480709688,,True
Westchester,-455884.1756529603,-255723.89890276024,0.020034183189020283,,True
Wyoming,-150169.21845052933,-111093.78356510459,0.01283909162224095,,True
Yates,-148651.56532576503,-128629.30022268365,0.015855453577334977,,True
