Year,MedianRent,MedianHomeValue,CountyName,StateFIPS,CountyFIPS
2017,1615,915300,"New York County, New York",36,061
2017,695,113000,"Tioga County, New York",36,107
2017,715,120000,"Cayuga County, New York",36,011
2017,683,93600,"Orleans County, New York",36,073
2017,1046,243600,"Saratoga County, New York",36,091
2017,1420,425100,"Rockland County, New York",36,087
2017,886,224600,"Columbia County, New York",36,021
2017,742,121700,"Lewis County, New York",36,049
2017,669,114800,"Niagara County, New York",36,063
2017,1444,513300,"Westchester County, New York",36,119
2017,696,138000,"Delaware County, New York",36,025
2017,798,146900,"Essex County, New York",36,031
2017,732,99900,"Montgomery County, New York",36,057
2017,1663,460700,"Nassau County, New York",36,059
2017,1229,460200,"Richmond County, New York",36,085
2017,723,88000,"St. Lawrence County, New York",36,089
2017,741,114700,"Schuyler County, New York",36,097
2017,1055,190100,"Tompkins County, New York",36,109
2017,881,192800,"Warren County, New York",36,113
2017,645,95900,"Chenango County, New York",36,017
2017,742,113900,"Cortland County, New York",36,023
2017,1174,275200,"Dutchess County, New York",36,027
2017,966,149300,"Jefferson County, New York",36,045
2017,872,142300,"Monroe County, New York",36,055
2017,735,120000,"Oneida County, New York",36,065
2017,1646,379400,"Suffolk County, New York",36,103
2017,1053,221600,"Ulster County, New York",36,111
2017,634,108500,"Wyoming County, New York",36,121
2017,764,105500,"Chemung County, New York",36,015
2017,755,125000,"Livingston County, New York",36,051
2017,748,97800,"Oswego County, New York",36,075
2017,808,141900,"Otsego County, New York",36,077
2017,876,176100,"Greene County, New York",36,039
2017,742,118900,"Wayne County, New York",36,117
2017,969,214400,"Albany County, New York",36,001
2017,633,73300,"Allegany County, New York",36,003
2017,734,113100,"Broome County, New York",36,007
2017,626,86500,"Cattaraugus County, New York",36,009
2017,778,139900,"Erie County, New York",36,029
2017,755,132800,"Madison County, New York",36,053
2017,894,164100,"Schenectady County, New York",36,093
2017,860,167900,"Sullivan County, New York",36,105
2017,748,111900,"Genesee County, New York",36,037
2017,732,128900,"Yates County, New York",36,123
2017,1187,260300,"Orange County, New York",36,071
2018,792,143500,"Schoharie County, New York",36,095
2018,759,108700,"Fulton County, New York",36,035
2018,945,185100,"Rensselaer County, New York",36,083
2018,702,105500,"Franklin County, New York",36,033
2018,1520,504900,"Queens County, New York",36,081
2018,848,145900,"Washington County, New York",36,115
2018,1682,944600,"New York County, New York",36,061
2018,747,123000,"Cayuga County, New York",36,011
2018,1463,434000,"Rockland County, New York",36,087
2018,692,119300,"Niagara County, New York",36,063
2018,802,151900,"Essex County, New York",36,031
2018,1738,474800,"Nassau County, New York",36,059
2018,730,121300,"Schuyler County, New York",36,097
2018,667,97000,"Chenango County, New York",36,017
2018,979,149500,"Jefferson County, New York",36,045
2018,1698,386800,"Suffolk County, New York",36,103
2018,640,112200,"Wyoming County, New York",36,121
2018,763,102000,"Oswego County, New York",36,075
2018,757,121700,"Wayne County, New York",36,117
2018,766,115600,"Broome County, New York",36,007
2018,804,146500,"Erie County, New York",36,029
2018,876,169500,"Sullivan County, New York",36,105
2018,1223,263700,"Orange County, New York",36,071
2018,1176,382900,"Bronx County, New York",36,005
2018,852,142300,"Onondaga County, New York",36,067
2018,796,132000,"Clinton County, New York",36,019
2018,761,101400,"Seneca County, New York",36,099
2018,1387,356300,"Putnam County, New York",36,079
2018,680,97200,"Herkimer County, New York",36,043
2018,875,160000,"Ontario County, New York",36,069
2018,692,98200,"Steuben County, New York",36,101
2018,761,164900,"Hamilton County, New York",36,041
2018,649,86300,"Chautauqua County, New York",36,013
2018,1374,665300,"Kings County, New York",36,047
2018,736,117100,"Tioga County, New York",36,107
2018,723,95600,"Orleans County, New York",36,073
2018,1090,251200,"Saratoga County, New York",36,091
2018,931,231100,"Columbia County, New York",36,021
2018,733,120000,"Lewis County, New York",36,049
2018,1493,528300,"Westchester County, New York",36,119
2018,696,136300,"Delaware County, New York",36,025
2018,749,101000,"Montgomery County, New York",36,057
2018,1282,478600,"Richmond County, New York",36,085
2018,730,91600,"St. Lawrence County, New York",36,089
2018,1107,199400,"Tompkins County, New York",36,109
2018,884,193800,"Warren County, New York",36,113
2018,764,118100,"Cortland County, New York",36,023
2018,1194,278100,"Dutchess County, New York",36,027
2018,902,144700,"Monroe County, New York",36,055
2018,755,123100,"Oneida County, New York",36,065
2018,1086,225500,"Ulster County, New York",36,111
2018,805,106500,"Chemung County, New York",36,015
2018,781,126700,"Livingston County, New York",36,051
2018,833,144000,"Otsego County, New York",36,077
2018,906,174700,"Greene County, New York",36,039
2018,993,218100,"Albany County, New York",36,001
2018,645,73900,"Allegany County, New York",36,003
2018,639,86200,"Cattaraugus County, New York",36,009
2018,771,131800,"Madison County, New York",36,053
2018,922,165400,"Schenectady County, New York",36,093
2018,746,117600,"Genesee County, New York",36,037
2018,753,128800,"Yates County, New York",36,123
2019,790,144800,"Schoharie County, New York",36,095
2019,779,109600,"Fulton County, New York",36,035
2019,973,188700,"Rensselaer County, New York",36,083
2019,703,108700,"Franklin County, New York",36,033
2019,1583,543800,"Queens County, New York",36,081
2019,855,149000,"Washington County, New York",36,115
2019,1740,987700,"New York County, New York",36,061
2019,763,128000,"Cayuga County, New York",36,011
2019,1504,443400,"Rockland County, New York",36,087
2019,703,125600,"Niagara County, New York",36,063
2019,812,153600,"Essex County, New York",36,031
2019,1772,493500,"Nassau County, New York",36,059
2019,742,133100,"Schuyler County, New York",36,097
2019,678,98400,"Chenango County, New York",36,017
2019,987,149900,"Jefferson County, New York",36,045
2019,1742,397400,"Suffolk County, New York",36,103
2019,659,115900,"Wyoming County, New York",36,121
2019,777,104600,"Oswego County, New York",36,075
2019,779,123800,"Wayne County, New York",36,117
2019,776,117000,"Broome County, New York",36,007
2019,829,153400,"Erie County, New York",36,029
2019,890,172800,"Sullivan County, New York",36,105
2019,1259,271200,"Orange County, New York",36,071
2019,1212,404700,"Bronx County, New York",36,005
2019,872,145400,"Onondaga County, New York",36,067
2019,810,134100,"Clinton County, New York",36,019
2019,781,107100,"Seneca County, New York",36,099
2019,1453,358500,"Putnam County, New York",36,079
2019,675,100000,"Herkimer County, New York",36,043
2019,896,161800,"Ontario County, New York",36,069
2019,695,99600,"Steuben County, New York",36,101
2019,783,166000,"Hamilton County, New York",36,041
2019,659,88000,"Chautauqua County, New York",36,013
