"GEO_ID","NAME","B19037_001E","B19037_001M","B19037_002E","B19037_002M","B19037_003E","B19037_003M","B19037_004E","B19037_004M","B19037_005E","B19037_005M","B19037_006E","B19037_006M","B19037_007E","B19037_007M","B19037_008E","B19037_008M","B19037_009E","B19037_009M","B19037_010E","B19037_010M","B19037_011E","B19037_011M","B19037_012E","B19037_012M","B19037_013E","B19037_013M","B19037_014E","B19037_014M","B19037_015E","B19037_015M","B19037_016E","B19037_016M","B19037_017E","B19037_017M","B19037_018E","B19037_018M","B19037_019E","B19037_019M","B19037_020E","B19037_020M","B19037_021E","B19037_021M","B19037_022E","B19037_022M","B19037_023E","B19037_023M","B19037_024E","B19037_024M","B19037_025E","B19037_025M","B19037_026E","B19037_026M","B19037_027E","B19037_027M","B19037_028E","B19037_028M","B19037_029E","B19037_029M","B19037_030E","B19037_030M","B19037_031E","B19037_031M","B19037_032E","B19037_032M","B19037_033E","B19037_033M","B19037_034E","B19037_034M","B19037_035E","B19037_035M","B19037_036E","B19037_036M","B19037_037E","B19037_037M","B19037_038E","B19037_038M","B19037_039E","B19037_039M","B19037_040E","B19037_040M","B19037_041E","B19037_041M","B19037_042E","B19037_042M","B19037_043E","B19037_043M","B19037_044E","B19037_044M","B19037_045E","B19037_045M","B19037_046E","B19037_046M","B19037_047E","B19037_047M","B19037_048E","B19037_048M","B19037_049E","B19037_049M","B19037_050E","B19037_050M","B19037_051E","B19037_051M","B19037_052E","B19037_052M","B19037_053E","B19037_053M","B19037_054E","B19037_054M","B19037_055E","B19037_055M","B19037_056E","B19037_056M","B19037_057E","B19037_057M","B19037_058E","B19037_058M","B19037_059E","B19037_059M","B19037_060E","B19037_060M","B19037_061E","B19037_061M","B19037_062E","B19037_062M","B19037_063E","B19037_063M","B19037_064E","B19037_064M","B19037_065E","B19037_065M","B19037_066E","B19037_066M","B19037_067E","B19037_067M","B19037_068E","B19037_068M","B19037_069E","B19037_069M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Householder under 25 years:","Margin of Error!!Total:!!Householder under 25 years:","Estimate!!Total:!!Householder under 25 years:!!Less than $10,000","Margin of Error!!Total:!!Householder under 25 years:!!Less than $10,000","Estimate!!Total:!!Householder under 25 years:!!$10,000 to $14,999","Margin of Error!!Total:!!Householder under 25 years:!!$10,000 to $14,999","Estimate!!Total:!!Householder under 25 years:!!$15,000 to $19,999","Margin of Error!!Total:!!Householder under 25 years:!!$15,000 to $19,999","Estimate!!Total:!!Householder under 25 years:!!$20,000 to $24,999","Margin of Error!!Total:!!Householder under 25 years:!!$20,000 to $24,999","Estimate!!Total:!!Householder under 25 years:!!$25,000 to $29,999","Margin of Error!!Total:!!Householder under 25 years:!!$25,000 to $29,999","Estimate!!Total:!!Householder under 25 years:!!$30,000 to $34,999","Margin of Error!!Total:!!Householder under 25 years:!!$30,000 to $34,999","Estimate!!Total:!!Householder under 25 years:!!$35,000 to $39,999","Margin of Error!!Total:!!Householder under 25 years:!!$35,000 to $39,999","Estimate!!Total:!!Householder under 25 years:!!$40,000 to $44,999","Margin of Error!!Total:!!Householder under 25 years:!!$40,000 to $44,999","Estimate!!Total:!!Householder under 25 years:!!$45,000 to $49,999","Margin of Error!!Total:!!Householder under 25 years:!!$45,000 to $49,999","Estimate!!Total:!!Householder under 25 years:!!$50,000 to $59,999","Margin of Error!!Total:!!Householder under 25 years:!!$50,000 to $59,999","Estimate!!Total:!!Householder under 25 years:!!$60,000 to $74,999","Margin of Error!!Total:!!Householder under 25 years:!!$60,000 to $74,999","Estimate!!Total:!!Householder under 25 years:!!$75,000 to $99,999","Margin of Error!!Total:!!Householder under 25 years:!!$75,000 to $99,999","Estimate!!Total:!!Householder under 25 years:!!$100,000 to $124,999","Margin of Error!!Total:!!Householder under 25 years:!!$100,000 to $124,999","Estimate!!Total:!!Householder under 25 years:!!$125,000 to $149,999","Margin of Error!!Total:!!Householder under 25 years:!!$125,000 to $149,999","Estimate!!Total:!!Householder under 25 years:!!$150,000 to $199,999","Margin of Error!!Total:!!Householder under 25 years:!!$150,000 to $199,999","Estimate!!Total:!!Householder under 25 years:!!$200,000 or more","Margin of Error!!Total:!!Householder under 25 years:!!$200,000 or more","Estimate!!Total:!!Householder 25 to 44 years:","Margin of Error!!Total:!!Householder 25 to 44 years:","Estimate!!Total:!!Householder 25 to 44 years:!!Less than $10,000","Margin of Error!!Total:!!Householder 25 to 44 years:!!Less than $10,000","Estimate!!Total:!!Householder 25 to 44 years:!!$10,000 to $14,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$10,000 to $14,999","Estimate!!Total:!!Householder 25 to 44 years:!!$15,000 to $19,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$15,000 to $19,999","Estimate!!Total:!!Householder 25 to 44 years:!!$20,000 to $24,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$20,000 to $24,999","Estimate!!Total:!!Householder 25 to 44 years:!!$25,000 to $29,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$25,000 to $29,999","Estimate!!Total:!!Householder 25 to 44 years:!!$30,000 to $34,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$30,000 to $34,999","Estimate!!Total:!!Householder 25 to 44 years:!!$35,000 to $39,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$35,000 to $39,999","Estimate!!Total:!!Householder 25 to 44 years:!!$40,000 to $44,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$40,000 to $44,999","Estimate!!Total:!!Householder 25 to 44 years:!!$45,000 to $49,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$45,000 to $49,999","Estimate!!Total:!!Householder 25 to 44 years:!!$50,000 to $59,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$50,000 to $59,999","Estimate!!Total:!!Householder 25 to 44 years:!!$60,000 to $74,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$60,000 to $74,999","Estimate!!Total:!!Householder 25 to 44 years:!!$75,000 to $99,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$75,000 to $99,999","Estimate!!Total:!!Householder 25 to 44 years:!!$100,000 to $124,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$100,000 to $124,999","Estimate!!Total:!!Householder 25 to 44 years:!!$125,000 to $149,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$125,000 to $149,999","Estimate!!Total:!!Householder 25 to 44 years:!!$150,000 to $199,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$150,000 to $199,999","Estimate!!Total:!!Householder 25 to 44 years:!!$200,000 or more","Margin of Error!!Total:!!Householder 25 to 44 years:!!$200,000 or more","Estimate!!Total:!!Householder 45 to 64 years:","Margin of Error!!Total:!!Householder 45 to 64 years:","Estimate!!Total:!!Householder 45 to 64 years:!!Less than $10,000","Margin of Error!!Total:!!Householder 45 to 64 years:!!Less than $10,000","Estimate!!Total:!!Householder 45 to 64 years:!!$10,000 to $14,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$10,000 to $14,999","Estimate!!Total:!!Householder 45 to 64 years:!!$15,000 to $19,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$15,000 to $19,999","Estimate!!Total:!!Householder 45 to 64 years:!!$20,000 to $24,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$20,000 to $24,999","Estimate!!Total:!!Householder 45 to 64 years:!!$25,000 to $29,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$25,000 to $29,999","Estimate!!Total:!!Householder 45 to 64 years:!!$30,000 to $34,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$30,000 to $34,999","Estimate!!Total:!!Householder 45 to 64 years:!!$35,000 to $39,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$35,000 to $39,999","Estimate!!Total:!!Householder 45 to 64 years:!!$40,000 to $44,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$40,000 to $44,999","Estimate!!Total:!!Householder 45 to 64 years:!!$45,000 to $49,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$45,000 to $49,999","Estimate!!Total:!!Householder 45 to 64 years:!!$50,000 to $59,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$50,000 to $59,999","Estimate!!Total:!!Householder 45 to 64 years:!!$60,000 to $74,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$60,000 to $74,999","Estimate!!Total:!!Householder 45 to 64 years:!!$75,000 to $99,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$75,000 to $99,999","Estimate!!Total:!!Householder 45 to 64 years:!!$100,000 to $124,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$100,000 to $124,999","Estimate!!Total:!!Householder 45 to 64 years:!!$125,000 to $149,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$125,000 to $149,999","Estimate!!Total:!!Householder 45 to 64 years:!!$150,000 to $199,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$150,000 to $199,999","Estimate!!Total:!!Householder 45 to 64 years:!!$200,000 or more","Margin of Error!!Total:!!Householder 45 to 64 years:!!$200,000 or more","Estimate!!Total:!!Householder 65 years and over:","Margin of Error!!Total:!!Householder 65 years and over:","Estimate!!Total:!!Householder 65 years and over:!!Less than $10,000","Margin of Error!!Total:!!Householder 65 years and over:!!Less than $10,000","Estimate!!Total:!!Householder 65 years and over:!!$10,000 to $14,999","Margin of Error!!Total:!!Householder 65 years and over:!!$10,000 to $14,999","Estimate!!Total:!!Householder 65 years and over:!!$15,000 to $19,999","Margin of Error!!Total:!!Householder 65 years and over:!!$15,000 to $19,999","Estimate!!Total:!!Householder 65 years and over:!!$20,000 to $24,999","Margin of Error!!Total:!!Householder 65 years and over:!!$20,000 to $24,999","Estimate!!Total:!!Householder 65 years and over:!!$25,000 to $29,999","Margin of Error!!Total:!!Householder 65 years and over:!!$25,000 to $29,999","Estimate!!Total:!!Householder 65 years and over:!!$30,000 to $34,999","Margin of Error!!Total:!!Householder 65 years and over:!!$30,000 to $34,999","Estimate!!Total:!!Householder 65 years and over:!!$35,000 to $39,999","Margin of Error!!Total:!!Householder 65 years and over:!!$35,000 to $39,999","Estimate!!Total:!!Householder 65 years and over:!!$40,000 to $44,999","Margin of Error!!Total:!!Householder 65 years and over:!!$40,000 to $44,999","Estimate!!Total:!!Householder 65 years and over:!!$45,000 to $49,999","Margin of Error!!Total:!!Householder 65 years and over:!!$45,000 to $49,999","Estimate!!Total:!!Householder 65 years and over:!!$50,000 to $59,999","Margin of Error!!Total:!!Householder 65 years and over:!!$50,000 to $59,999","Estimate!!Total:!!Householder 65 years and over:!!$60,000 to $74,999","Margin of Error!!Total:!!Householder 65 years and over:!!$60,000 to $74,999","Estimate!!Total:!!Householder 65 years and over:!!$75,000 to $99,999","Margin of Error!!Total:!!Householder 65 years and over:!!$75,000 to $99,999","Estimate!!Total:!!Householder 65 years and over:!!$100,000 to $124,999","Margin of Error!!Total:!!Householder 65 years and over:!!$100,000 to $124,999","Estimate!!Total:!!Householder 65 years and over:!!$125,000 to $149,999","Margin of Error!!Total:!!Householder 65 years and over:!!$125,000 to $149,999","Estimate!!Total:!!Householder 65 years and over:!!$150,000 to $199,999","Margin of Error!!Total:!!Householder 65 years and over:!!$150,000 to $199,999","Estimate!!Total:!!Householder 65 years and over:!!$200,000 or more","Margin of Error!!Total:!!Householder 65 years and over:!!$200,000 or more",
"0400000US36","New York","7668956","12766","206661","3621","30698","1665","10357","965","9807","963","10609","977","10793","1089","9626","936","9554","989","8356","821","9714","1137","15141","1076","21299","1462","22207","1480","13621","941","8020","768","8524","834","8335","746","2406793","8450","122683","3435","53250","2183","45303","1975","57073","2399","57360","2104","59848","2090","66470","2216","63836","2366","69418","2240","131250","3259","197645","4034","299287","5257","254805","4727","201332","3716","277047","4298","450186","5423","2902257","6923","148028","3273","100346","3242","70490","2482","71311","2369","70289","2398","72241","2503","72174","2454","75487","2449","75897","2556","153825","3592","215190","4754","323993","5068","290913","4905","233015","4449","340683","4515","588375","6188","2153245","7854","132719","3171","147461","3841","115825","3126","117027","3200","105910","2935","92179","2827","86338","2137","81345","2033","76333","2277","139979","2881","183674","3633","232199","4151","166958","3243","117776","3032","145501","2900","212021","3430",
