RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,PriceDate,HomePrice,County,Year,Month,TaxAmount,TaxDate,Mortgage Rate,RentDate,Housing,MonthlyRent
929,738,Cayuga County,county,NY,NY,"Auburn, NY",36,11,2000-01-31,52734.47441954093,Cayuga,2000,2000-01-31,,,,2024-01-01,9881.0,823.4166666666666
1909,790,Madison County,county,NY,NY,"Syracuse, NY",36,53,2000-01-31,54401.24617793216,Madison,2000,2000-01-31,,,,2024-01-01,10073.0,839.4166666666666
1479,827,Warren County,county,NY,NY,"Glens Falls, NY",36,113,2000-01-31,69030.47291421436,Warren,2000,2000-01-31,,,,2024-01-01,13045.0,1087.0833333333333
2961,861,Livingston County,county,NY,NY,"Rochester, NY",36,51,2000-01-31,55433.95076747826,Livingston,2000,2000-01-31,,,,2024-01-01,10330.0,860.8333333333334
2214,869,Columbia County,county,NY,NY,"Hudson, NY",36,21,2000-01-31,68950.16398356632,Columbia,2000,2000-01-31,,,,2024-01-01,14111.0,1175.9166666666667
3066,870,Washington County,county,NY,NY,"Glens Falls, NY",36,115,2000-01-31,42779.19428054589,Washington,2000,2000-01-31,,,,2024-01-01,11979.0,998.25
2340,878,Herkimer County,county,NY,NY,"Utica-Rome, NY",36,43,2000-01-31,46738.607858789845,Herkimer,2000,2000-01-31,,,,2024-01-01,10067.0,838.9166666666666
1298,890,Otsego County,county,NY,NY,"Oneonta, NY",36,77,2000-01-31,34939.61941309366,Otsego,2000,2000-01-31,,,,2024-01-01,9785.0,815.4166666666666
1722,902,Genesee County,county,NY,NY,"Batavia, NY",36,37,2000-01-31,45565.23908609196,Genesee,2000,2000-01-31,,,,2024-01-01,8977.0,748.0833333333334
1024,954,Fulton County,county,NY,NY,"Gloversville, NY",36,35,2000-01-31,39518.65915243787,Fulton,2000,2000-01-31,,,,2024-01-01,9580.0,798.3333333333334
2979,1012,Montgomery County,county,NY,NY,"Amsterdam, NY",36,57,2000-01-31,40632.745747541856,Montgomery,2000,2000-01-31,,,,2024-01-01,9218.0,768.1666666666666
748,1026,Tioga County,county,NY,NY,"Binghamton, NY",36,107,2000-01-31,48457.83705820893,Tioga,2000,2000-01-31,,,,2024-01-01,10472.0,872.6666666666666
2287,1037,Franklin County,county,NY,NY,"Malone, NY",36,33,2000-01-31,41597.18738053112,Franklin,2000,2000-01-31,,,,2024-01-01,8122.0,676.8333333333334
2224,1050,Cortland County,county,NY,NY,"Cortland, NY",36,23,2000-01-31,32524.80905519849,Cortland,2000,2000-01-31,,,,2024-01-01,10797.0,899.75
1954,1191,Orleans County,county,NY,NY,"Rochester, NY",36,73,2000-01-31,36364.24438972639,Orleans,2000,2000-01-31,,,,2024-01-01,9933.0,827.75
1373,1369,Seneca County,county,NY,NY,"Seneca Falls, NY",36,99,2000-01-31,72899.9511988042,Seneca,2000,2000-01-31,,,,2024-01-01,9881.0,823.4166666666666
2843,1472,Schoharie County,county,NY,NY,"Albany-Schenectady-Troy, NY",36,95,2000-01-31,45194.86238595808,Schoharie,2000,2000-01-31,,,,2024-01-01,9583.0,798.5833333333334
816,1663,Yates County,county,NY,NY,"Rochester, NY",36,123,2000-01-31,72519.532484427,Yates,2000,2000-01-31,,,,2024-01-01,9170.0,764.1666666666666
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,47,2000-02-29,118445.83826520592,Kings,2000,2000-02-29,,,,2024-01-01,26251.0,2187.5833333333335
1347,10,Queens County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,81,2000-02-29,118052.4494961013,Queens,2000,2000-02-29,,,,2024-01-01,28178.0,2348.1666666666665
2452,20,New York County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,61,2000-02-29,259832.75491820907,New York,2000,2000-02-29,,,,2024-01-01,31371.0,2614.25
2046,24,Suffolk County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,103,2000-02-29,91706.27743490998,Suffolk,2000,2000-02-29,,,,2024-01-01,22245.0,1853.75
401,26,Bronx County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,5,2000-02-29,81923.60559469784,Bronx,2000,2000-02-29,,,,2024-01-01,21130.0,1760.8333333333333
1252,29,Nassau County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,59,2000-02-29,132101.45042111631,Nassau,2000,2000-02-29,,,,2024-01-01,22295.0,1857.9166666666667
3148,48,Westchester County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,119,2000-02-29,115728.61570655133,Westchester,2000,2000-02-29,,,,2024-01-01,27604.0,2300.3333333333335
