Ds,Yhat,Yhat Lower,Yhat Upper,County
2024-12-31,820.2750067203579,785.6245970425018,848.5087276872031,Schoharie
2025-12-31,833.7210253137249,768.8964803206137,889.7101666084125,Schoharie
2026-12-31,839.5085720071843,738.5120110957154,926.5416754306846,Schoharie
2027-12-31,837.75560137503,695.8924774415333,961.0424593551726,Schoharie
2028-12-31,955.0382436740483,769.7328635614404,1122.1499620755249,Schoharie
2029-12-31,968.4842622687529,729.7252158676487,1184.4714594747973,Schoharie
2030-12-31,974.2718089606545,680.4305030128339,1238.6130900441335,Schoharie
2031-12-31,972.5188383273241,619.5333410058531,1294.307942956914,Schoharie
2032-12-31,1089.8014806275817,678.9270273722296,1475.277488257388,Schoharie
2024-12-31,766.3205552199863,756.8804102731102,775.1458058785955,Fulton
2025-12-31,786.7597700030377,771.5964064046724,799.5776597928277,Fulton
2026-12-31,802.7840189129696,778.8395932882939,824.490827292299,Fulton
2027-12-31,814.4314837473315,782.8677913697587,842.6982152240905,Fulton
2028-12-31,894.2991752126093,853.0979578571176,932.1404108136493,Fulton
2029-12-31,914.73838999555,862.2118576421075,961.9442917012375,Fulton
2030-12-31,930.7626389054582,866.335401952564,989.1878937047812,Fulton
2031-12-31,942.4101037394723,864.3866277242453,1012.4164505775741,Fulton
2032-12-31,1022.2777952050482,933.0902538471903,1105.0610211606972,Fulton
2024-12-31,1096.4416977791693,1072.2160847195157,1123.90877883093,Rensselaer
2025-12-31,1103.1699243492267,1055.0001930201993,1155.3621559150474,Rensselaer
2026-12-31,1094.4701900611735,1016.5908698654252,1176.620261239228,Rensselaer
2027-12-31,1070.5494989178917,957.4861142152703,1188.2191557948663,Rensselaer
2028-12-31,1320.0321250554293,1167.4692659677603,1473.9293952355033,Rensselaer
2029-12-31,1326.7603516252957,1132.8417987403122,1518.312384428265,Rensselaer
2030-12-31,1318.0606173361186,1083.35986373585,1554.203638512792,Rensselaer
2031-12-31,1294.1399261920353,1012.1420390235687,1581.7122498294807,Rensselaer
2032-12-31,1543.6225523302032,1208.989283040851,1882.631744811554,Rensselaer
2024-12-31,775.0184198968698,763.053174762607,786.3166980192757,Franklin
2025-12-31,827.0425660800782,804.2440964326113,845.6097605879363,Franklin
2026-12-31,884.16234549258,850.9855071501354,915.8440433076478,Franklin
2027-12-31,946.3113311148461,897.9306224435172,991.2543178236842,Franklin
2028-12-31,917.2420750462283,853.5362191680075,976.3559287588774,Franklin
2029-12-31,969.2662212295796,886.5493760545264,1045.330251825116,Franklin
2030-12-31,1026.3860006422503,926.0518270839334,1118.8972019509463,Franklin
2031-12-31,1088.5349862649614,970.1161842105263,1199.0403966823494,Franklin
2032-12-31,1059.4657301959378,918.3774054711571,1188.6299397642497,Franklin
2024-12-31,1893.674939128636,1879.5642145437532,1908.777450474688,Queens
2025-12-31,1922.2582577544893,1899.0015740163851,1945.9867366905507,Queens
2026-12-31,1934.0089520638048,1900.2696808143965,1969.5766014998846,Queens
2027-12-31,1929.093056271917,1880.8299412433364,1976.4674257084603,Queens
2028-12-31,2218.700091308286,2156.4358868503227,2279.1225130456064,Queens
2029-12-31,2247.283409933653,2168.5054935843655,2323.262956088193,Queens
2030-12-31,2259.03410424288,2163.9851508605616,2353.566943239635,Queens
2031-12-31,2254.1182084495395,2144.6022810284926,2368.755603923518,Queens
2032-12-31,2543.7252434870948,2414.918587796375,2676.9223978775813,Queens
2024-12-31,861.9313429050026,849.7883624164774,875.1848830496332,Washington
2025-12-31,860.1352085123602,846.0913100583851,874.6250437327811,Washington
2026-12-31,847.8791007933357,830.0734681350106,866.0917769650475,Washington
2027-12-31,825.2456681483301,802.107438606203,848.2393619996906,Washington
2028-12-31,988.8207777941861,961.268628463517,1016.6798510723046,Washington
2029-12-31,987.0246434012239,953.3684689318688,1022.9630562766995,Washington
2030-12-31,974.7685356823547,933.6724903399763,1016.6563079939112,Washington
2031-12-31,952.1351030364232,903.9283654767584,1002.1382536236223,Washington
2032-12-31,1115.710212682969,1060.4927845732138,1172.7183125414742,Washington
2024-12-31,2245.8706410913824,2220.48718375033,2269.174478959789,New York
2025-12-31,2334.5175933788587,2286.224145368189,2378.8001981160714,New York
2026-12-31,2411.8377267463748,2340.173995318065,2482.705129470178,New York
2027-12-31,2477.966975592948,2370.816015788434,2577.941216891958,New York
2028-12-31,2710.4077453226046,2568.2939330014888,2843.171890483892,New York
2029-12-31,2799.0546976098367,2621.018159193491,2969.7052024024915,New York
2030-12-31,2876.3748309768844,2654.195960139333,3090.1319053745956,New York
2031-12-31,2942.5040798226164,2681.613280099103,3205.1735886251963,New York
2032-12-31,3174.9448495531287,2874.5712249545277,3482.708311903263,New York
2024-12-31,783.9868603350782,779.1046030921837,789.0800888387008,Cayuga
2025-12-31,788.7398618018883,781.9152371630266,795.1459220884263,Cayuga
2026-12-31,785.3000060556109,775.2919702719721,794.3671656235913,Cayuga
2027-12-31,773.745417361514,759.6203458659835,785.9645885421282,Cayuga
2028-12-31,897.6113770129766,878.6135737335564,913.3341415565949,Cayuga
2029-12-31,902.3643784795659,878.4706033182241,922.5834439700316,Cayuga
2030-12-31,898.9245227332254,869.8419853438417,924.4658045250269,Cayuga
2031-12-31,887.3699340384516,852.1065558159493,917.6794435864214,Cayuga
2032-12-31,1011.235893690486,969.1146829990381,1045.2912232859796,Cayuga
2024-12-31,1695.8790547788883,1663.9831087714867,1724.965386426521,Rockland
2025-12-31,1673.3401026476377,1611.2209725032228,1731.0453806118053,Rockland
2026-12-31,1619.963349450016,1522.9257056598556,1711.9963418905909,Rockland
