Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Owner,Adjusted_Cumulative_Owner,Net_Difference_Savings,Cumulative_Rent_k,Adjusted_Cumulative_Owner_k,Net_Difference_Savings_k
2018,Monroe,New York,902,144700,4653,1122,191759,1122,3443,4428,-245572,249015,3.443,-245.572,249.015
2019,Monroe,New York,927,148400,4781,1133,191783,1133,4370,5561,-244439,248809,4.37,-244.439,248.809
2020,Monroe,New York,947,152000,4798,1123,193319,1123,5317,6684,-243316,248633,5.317,-243.316,248.633
2021,Monroe,New York,991,160000,4923,1161,198738,1161,6308,7845,-242155,248463,6.308,-242.155,248.463
2022,Monroe,New York,1085,182700,5306,1233,200332,1233,7393,9078,-240922,248315,7.393,-240.922,248.315
2023,Monroe,New York,1126,197100,5495,1272,201032,1272,8519,10350,-239650,248169,8.519,-239.65,248.169
2015,Montgomery,New York,702,101600,3177,868,13109,868,702,868,-249132,249834,0.702,-249.132,249.834
2016,Montgomery,New York,721,99100,3234,851,13040,851,1423,1719,-248281,249704,1.423,-248.281,249.704
2017,Montgomery,New York,732,99900,3278,858,13565,858,2155,2577,-247423,249578,2.155,-247.423,249.578
2018,Montgomery,New York,749,101000,3217,851,13375,851,2904,3428,-246572,249476,2.904,-246.572,249.476
2019,Montgomery,New York,783,105400,3233,844,13455,844,3687,4272,-245728,249415,3.687,-245.728,249.415
2020,Montgomery,New York,759,110700,3308,869,13241,869,4446,5141,-244859,249305,4.446,-244.859,249.305
2021,Montgomery,New York,793,113500,3363,894,13165,894,5239,6035,-243965,249204,5.239,-243.965,249.204
2022,Montgomery,New York,867,132300,3488,969,13001,969,6106,7004,-242996,249102,6.106,-242.996,249.102
2023,Montgomery,New York,921,141600,3630,1001,13336,1001,7027,8005,-241995,249022,7.027,-241.995,249.022
2015,Nassau,New York,1578,446400,10001,2455,353777,2455,1578,2455,-247545,249123,1.578,-247.545,249.123
2016,Nassau,New York,1603,451700,10001,2450,353420,2450,3181,4905,-245095,248276,3.181,-245.095,248.276
2017,Nassau,New York,1663,460700,10001,2494,357982,2494,4844,7399,-242601,247445,4.844,-242.601,247.445
2018,Nassau,New York,1738,474800,10001,2547,359301,2547,6582,9946,-240054,246636,6.582,-240.054,246.636
2019,Nassau,New York,1772,493500,10001,2605,360578,2605,8354,12551,-237449,245803,8.354,-237.449,245.803
2020,Nassau,New York,1831,524400,10001,2612,365052,2612,10185,15163,-234837,245022,10.185,-234.837,245.022
2021,Nassau,New York,1940,560100,10001,2704,370368,2704,12125,17867,-232133,244258,12.125,-232.133,244.258
2022,Nassau,New York,2131,633800,10001,2911,372021,2911,14256,20778,-229222,243478,14.256,-229.222,243.478
2023,Nassau,New York,2195,658700,10001,3000,373665,3000,16451,23778,-226222,242673,16.451,-226.222,242.673
2015,New York,New York,1519,848700,7208,1903,172079,1903,1519,1903,-248097,249616,1.519,-248.097,249.616
2016,New York,New York,1575,871500,7641,1886,174361,1886,3094,3789,-246211,249305,3.094,-246.211,249.305
2017,New York,New York,1615,915300,8237,1889,182453,1889,4709,5678,-244322,249031,4.709,-244.322,249.031
2018,New York,New York,1682,944600,8980,1941,182949,1941,6391,7619,-242381,248772,6.391,-242.381,248.772
2019,New York,New York,1740,987700,9817,1987,182796,1987,8131,9606,-240394,248525,8.131,-240.394,248.525
2020,New York,New York,1787,1024500,10001,2100,182507,2100,9918,11706,-238294,248212,9.918,-238.294,248.212
2021,New York,New York,1869,1008500,10001,2252,189119,2252,11787,13958,-236042,247829,11.787,-236.042,247.829
2022,New York,New York,2024,1104000,10001,2479,187921,2479,13811,16437,-233563,247374,13.811,-233.563,247.374
2023,New York,New York,2132,1108900,10001,2642,191643,2642,15943,19079,-230921,246864,15.943,-230.921,246.864
2015,Niagara,New York,654,108000,3255,881,62294,881,654,881,-249119,249773,0.654,-249.119,249.773
2016,Niagara,New York,657,111500,3339,885,62309,885,1311,1766,-248234,249545,1.311,-248.234,249.545
2017,Niagara,New York,669,114800,3420,882,62888,882,1980,2648,-247352,249332,1.98,-247.352,249.332
2018,Niagara,New York,692,119300,3473,900,62872,900,2672,3548,-246452,249124,2.672,-246.452,249.124
2019,Niagara,New York,703,125600,3577,906,62543,906,3375,4454,-245546,248921,3.375,-245.546,248.921
2020,Niagara,New York,714,131600,3634,898,64549,898,4089,5352,-244648,248737,4.089,-244.648,248.737
2021,Niagara,New York,753,140400,3697,921,64724,921,4842,6273,-243727,248569,4.842,-243.727,248.569
2022,Niagara,New York,823,163100,3958,990,64550,990,5665,7263,-242737,248402,5.665,-242.737,248.402
2023,Niagara,New York,870,177400,4052,1021,64870,1021,6535,8284,-241716,248251,6.535,-241.716,248.251
2015,Oneida,New York,706,114000,2901,868,59675,868,706,868,-249132,249838,0.706,-249.132,249.838
2016,Oneida,New York,712,117600,2976,868,60083,868,1418,1736,-248264,249682,1.418,-248.264,249.682
2017,Oneida,New York,735,120000,3070,878,60271,878,2153,2614,-247386,249539,2.153,-247.386,249.539
2018,Oneida,New York,755,123100,3146,896,60296,896,2908,3510,-246490,249398,2.908,-246.49,249.398
2019,Oneida,New York,766,127700,3230,899,60547,899,3674,4409,-245591,249265,3.674,-245.591,249.265
2020,Oneida,New York,777,133100,3269,897,62318,897,4451,5306,-244694,249145,4.451,-244.694,249.145
2021,Oneida,New York,807,138700,3353,920,62148,920,5258,6226,-243774,249032,5.258,-243.774,249.032
2022,Oneida,New York,889,157600,3565,980,63158,980,6147,7206,-242794,248941,6.147,-242.794,248.941
2023,Oneida,New York,917,171100,3646,1005,63966,1005,7064,8211,-241789,248853,7.064,-241.789,248.853
2015,Onondaga,New York,787,135900,3789,1059,120529,1059,787,1059,-248941,249728,0.787,-248.941,249.728
2016,Onondaga,New York,797,137000,3824,1039,120159,1039,1584,2098,-247902,249486,1.584,-247.902,249.486
2017,Onondaga,New York,823,139400,3918,1043,120606,1043,2407,3141,-246859,249266,2.407,-246.859,249.266
2018,Onondaga,New York,852,142300,3983,1065,120348,1065,3259,4206,-245794,249053,3.259,-245.794,249.053
2019,Onondaga,New York,872,145400,4087,1074,119871,1074,4131,5280,-244720,248851,4.131,-244.72,248.851
2020,Onondaga,New York,888,148100,4184,1072,121902,1072,5019,6352,-243648,248667,5.019,-243.648,248.667
2021,Onondaga,New York,926,154100,4376,1131,124179,1131,5945,7483,-242517,248462,5.945,-242.517,248.462
2022,Onondaga,New York,1002,172800,4646,1197,125899,1197,6947,8680,-241320,248267,6.947,-241.32,248.267
2023,Onondaga,New York,1067,185300,4805,1228,128013,1228,8014,9908,-240092,248106,8.014,-240.092,248.106
2015,Ontario,New York,809,145700,3508,1024,32228,1024,809,1024,-248976,249785,0.809,-248.976,249.785
2016,Ontario,New York,821,148400,3605,1037,32075,1037,1630,2061,-247939,249569,1.63,-247.939,249.569
2017,Ontario,New York,837,156500,3770,1045,32389,1045,2467,3106,-246894,249361,2.467,-246.894,249.361
2018,Ontario,New York,875,160000,3850,1062,32639,1062,3342,4168,-245832,249174,3.342,-245.832,249.174
2019,Ontario,New York,896,161800,3973,1070,33054,1070,4238,5238,-244762,249000,4.238,-244.762,249.0
2020,Ontario,New York,898,163100,3942,1066,33237,1066,5136,6304,-243696,248832,5.136,-243.696,248.832
2021,Ontario,New York,962,169200,4087,1089,34097,1089,6098,7393,-242607,248705,6.098,-242.607,248.705
2022,Ontario,New York,1061,192800,4364,1166,34133,1166,7159,8559,-241441,248600,7.159,-241.441,248.6
2023,Ontario,New York,1126,202900,4460,1199,34718,1199,8285,9758,-240242,248527,8.285,-240.242,248.527
2015,Orange,New York,1155,262500,6419,1858,86184,1858,1155,1858,-248142,249297,1.155,-248.142,249.297
2016,Orange,New York,1157,258700,6524,1830,85306,1830,2312,3688,-246312,248624,2.312,-246.312,248.624
2017,Orange,New York,1187,260300,6641,1805,86449,1805,3499,5493,-244507,248006,3.499,-244.507,248.006
2018,Orange,New York,1223,263700,6763,1811,86266,1811,4722,7304,-242696,247418,4.722,-242.696,247.418
2019,Orange,New York,1259,271200,7091,1870,85584,1870,5981,9174,-240826,246807,5.981,-240.826,246.807
2020,Orange,New York,1294,278400,7199,1864,88453,1864,7275,11038,-238962,246237,7.275,-238.962,246.237
2021,Orange,New York,1379,291900,7574,1928,91534,1928,8654,12966,-237034,245688,8.654,-237.034,245.688
2022,Orange,New York,1494,337800,8310,2079,91917,2079,10148,15045,-234955,245103,10.148,-234.955,245.103
2023,Orange,New York,1602,361100,8463,2128,93959,2128,11750,17173,-232827,244577,11.75,-232.827,244.577
2015,Orleans,New York,639,91300,3055,923,12112,923,639,923,-249077,249716,0.639,-249.077,249.716
2016,Orleans,New York,658,92000,3179,904,12186,904,1297,1827,-248173,249470,1.297,-248.173,249.47
2017,Orleans,New York,683,93600,3237,903,12166,903,1980,2730,-247270,249250,1.98,-247.27,249.25
2018,Orleans,New York,723,95600,3332,913,12346,913,2703,3643,-246357,249060,2.703,-246.357,249.06
2019,Orleans,New York,728,98400,3393,928,12520,928,3431,4571,-245429,248860,3.431,-245.429,248.86
2020,Orleans,New York,782,101400,3445,910,12491,910,4213,5481,-244519,248732,4.213,-244.519,248.732
2021,Orleans,New York,802,107700,3524,965,12065,965,5015,6446,-243554,248569,5.015,-243.554,248.569
2022,Orleans,New York,840,122200,3765,1054,12348,1054,5855,7500,-242500,248355,5.855,-242.5,248.355
2023,Orleans,New York,877,126200,3781,1082,12539,1082,6732,8582,-241418,248150,6.732,-241.418,248.15
2015,Oswego,New York,721,94800,2612,864,32675,864,721,864,-249136,249857,0.721,-249.136,249.857
2016,Oswego,New York,725,96000,2706,870,32850,870,1446,1734,-248266,249712,1.446,-248.266,249.712
2017,Oswego,New York,748,97800,2812,896,33302,896,2194,2630,-247370,249564,2.194,-247.37,249.564
2018,Oswego,New York,763,102000,2899,910,33504,910,2957,3540,-246460,249417,2.957,-246.46,249.417
2019,Oswego,New York,777,104600,2997,913,33965,913,3734,4453,-245547,249281,3.734,-245.547,249.281
2020,Oswego,New York,806,109500,3123,913,33912,913,4540,5366,-244634,249174,4.54,-244.634,249.174
2021,Oswego,New York,844,115900,3272,953,34507,953,5384,6319,-243681,249065,5.384,-243.681,249.065
2022,Oswego,New York,899,131800,3544,1022,34694,1022,6283,7341,-242659,248942,6.283,-242.659,248.942
2023,Oswego,New York,943,139600,3595,1061,34837,1061,7226,8402,-241598,248824,7.226,-241.598,248.824
2015,Otsego,New York,776,142800,2529,802,17352,802,776,802,-249198,249974,0.776,-249.198,249.974
2016,Otsego,New York,775,140600,2528,797,17350,797,1551,1599,-248401,249952,1.551,-248.401,249.952
2017,Otsego,New York,808,141900,2598,797,17553,797,2359,2396,-247604,249963,2.359,-247.604,249.963
2018,Otsego,New York,833,144000,2695,816,17174,816,3192,3212,-246788,249980,3.192,-246.788,249.98
2019,Otsego,New York,833,146400,2702,808,16892,808,4025,4020,-245980,250005,4.025,-245.98,250.005
2020,Otsego,New York,827,150700,2725,849,17157,849,4852,4869,-245131,249983,4.852,-245.131,249.983
2021,Otsego,New York,863,154200,2881,880,16568,880,5715,5749,-244251,249966,5.715,-244.251,249.966
2022,Otsego,New York,927,166500,2930,966,16534,966,6642,6715,-243285,249927,6.642,-243.285,249.927
2023,Otsego,New York,942,175900,2911,989,16807,989,7584,7704,-242296,249880,7.584,-242.296,249.88
2015,Putnam,New York,1234,354900,8631,2250,27946,2250,1234,2250,-247750,248984,1.234,-247.75,248.984
2016,Putnam,New York,1307,354800,8922,2264,27961,2264,2541,4514,-245486,248027,2.541,-245.486,248.027
2017,Putnam,New York,1334,357700,9205,2240,28101,2240,3875,6754,-243246,247121,3.875,-243.246,247.121
2018,Putnam,New York,1387,356300,9383,2213,28718,2213,5262,8967,-241033,246295,5.262,-241.033,246.295
2019,Putnam,New York,1453,358500,9464,2206,28513,2206,6715,11173,-238827,245542,6.715,-238.827,245.542
2020,Putnam,New York,1489,366400,9564,2228,28797,2228,8204,13401,-236599,244803,8.204,-236.599,244.803
2021,Putnam,New York,1544,377800,9855,2246,28854,2246,9748,15647,-234353,244101,9.748,-234.353,244.101
2022,Putnam,New York,1691,421800,10001,2368,29299,2368,11439,18015,-231985,243424,11.439,-231.985,243.424
2023,Putnam,New York,1824,448000,10001,2409,29105,2409,13263,20424,-229576,242839,13.263,-229.576,242.839
2015,Queens,New York,1367,450300,3705,1582,340561,1582,1367,1582,-248418,249785,1.367,-248.418,249.785
2016,Queens,New York,1401,462300,3896,1587,341363,1587,2768,3169,-246831,249599,2.768,-246.831,249.599
2017,Queens,New York,1456,481300,4170,1582,346041,1582,4224,4751,-245249,249473,4.224,-245.249,249.473
2018,Queens,New York,1520,504900,4443,1602,347739,1602,5744,6353,-243647,249391,5.744,-243.647,249.391
2019,Queens,New York,1583,543800,4726,1616,348732,1616,7327,7969,-242031,249358,7.327,-242.031,249.358
2020,Queens,New York,1629,575600,5016,1609,353375,1609,8956,9578,-240422,249378,8.956,-240.422,249.378
2021,Queens,New York,1711,603200,5397,1676,366494,1676,10667,11254,-238746,249413,10.667,-238.746,249.413
2022,Queens,New York,1847,677700,5887,1779,369150,1779,12514,13033,-236967,249481,12.514,-236.967,249.481
2023,Queens,New York,1915,699200,6130,1830,371778,1830,14429,14863,-235137,249566,14.429,-235.137,249.566
2015,Rensselaer,New York,875,179100,4380,1266,41240,1266,875,1266,-248734,249609,0.875,-248.734,249.609
2016,Rensselaer,New York,883,180700,4398,1260,40749,1260,1758,2526,-247474,249232,1.758,-247.474,249.232
2017,Rensselaer,New York,908,183400,4529,1272,40878,1272,2666,3798,-246202,248868,2.666,-246.202,248.868
2018,Rensselaer,New York,945,185100,4585,1292,40708,1292,3611,5090,-244910,248521,3.611,-244.91,248.521
2019,Rensselaer,New York,973,188700,4735,1296,40771,1296,4584,6386,-243614,248198,4.584,-243.614,248.198
2020,Rensselaer,New York,987,197100,4766,1263,41200,1263,5571,7649,-242351,247922,5.571,-242.351,247.922
2021,Rensselaer,New York,1046,204200,4913,1321,41693,1321,6617,8970,-241030,247647,6.617,-241.03,247.647
2022,Rensselaer,New York,1141,230800,5235,1399,41507,1399,7758,10369,-239631,247389,7.758,-239.631,247.389
2023,Rensselaer,New York,1182,244300,5357,1430,42452,1430,8940,11799,-238201,247141,8.94,-238.201,247.141
2015,Richmond,New York,1169,439500,3717,1951,114000,1951,1169,1951,-248049,249218,1.169,-248.049,249.218
2016,Richmond,New York,1191,448000,3910,1946,114502,1946,2360,3897,-246103,248463,2.36,-246.103,248.463
2017,Richmond,New York,1229,460200,4177,1970,115428,1970,3589,5867,-244133,247722,3.589,-244.133,247.722
2018,Richmond,New York,1282,478600,4427,2009,115839,2009,4871,7876,-242124,246995,4.871,-242.124,246.995
2019,Richmond,New York,1319,504800,4676,2036,115265,2036,6190,9912,-240088,246278,6.19,-240.088,246.278
2020,Richmond,New York,1379,546100,4998,2023,114975,2023,7569,11935,-238065,245634,7.569,-238.065,245.634
2021,Richmond,New York,1445,575500,5429,2072,116435,2072,9014,14007,-235993,245007,9.014,-235.993,245.007
2022,Richmond,New York,1602,637100,5844,2189,116662,2189,10616,16196,-233804,244420,10.616,-233.804,244.42
2023,Richmond,New York,1689,658500,6074,2255,115534,2255,12305,18451,-231549,243854,12.305,-231.549,243.854
2015,Rockland,New York,1335,419100,10001,2393,68107,2393,1335,2393,-247607,248942,1.335,-247.607,248.942
2016,Rockland,New York,1367,420700,10001,2405,68276,2405,2702,4798,-245202,247904,2.702,-245.202,247.904
2017,Rockland,New York,1420,425100,10001,2433,68822,2433,4122,7231,-242769,246891,4.122,-242.769,246.891
2018,Rockland,New York,1463,434000,10001,2470,68681,2470,5585,9701,-240299,245884,5.585,-240.299,245.884
2019,Rockland,New York,1504,443400,10001,2516,68591,2516,7089,12217,-237783,244872,7.089,-237.783,244.872
2020,Rockland,New York,1558,452500,10001,2494,68703,2494,8647,14711,-235289,243936,8.647,-235.289,243.936
2021,Rockland,New York,1642,465200,10001,2555,69559,2555,10289,17266,-232734,243023,10.289,-232.734,243.023
2022,Rockland,New York,1755,528900,10001,2699,70035,2699,12044,19965,-230035,242079,12.044,-230.035,242.079
2023,Rockland,New York,1826,564200,10001,2779,70496,2779,13870,22744,-227256,241126,13.87,-227.256,241.126
2015,Saratoga,New York,993,232900,3809,1311,64423,1311,993,1311,-248689,249682,0.993,-248.689,249.682
2016,Saratoga,New York,1026,238600,3853,1325,65099,1325,2019,2636,-247364,249383,2.019,-247.364,249.383
2017,Saratoga,New York,1046,243600,3956,1331,66624,1331,3065,3967,-246033,249098,3.065,-246.033,249.098
2018,Saratoga,New York,1090,251200,4101,1379,67383,1379,4155,5346,-244654,248809,4.155,-244.654,248.809
2019,Saratoga,New York,1138,258300,4139,1379,68158,1379,5293,6725,-243275,248568,5.293,-243.275,248.568
2020,Saratoga,New York,1151,266000,4244,1368,69128,1368,6444,8093,-241907,248351,6.444,-241.907,248.351
2021,Saratoga,New York,1198,273500,4413,1405,70842,1405,7642,9498,-240502,248144,7.642,-240.502,248.144
2022,Saratoga,New York,1305,306000,4692,1512,70909,1512,8947,11010,-238990,247937,8.947,-238.99,247.937
2023,Saratoga,New York,1347,324800,4843,1538,72048,1538,10294,12548,-237452,247746,10.294,-237.452,247.746
2015,Schenectady,New York,845,165800,4555,1210,37747,1210,845,1210,-248790,249635,0.845,-248.79,249.635
2016,Schenectady,New York,857,165000,4578,1217,36997,1217,1702,2427,-247573,249275,1.702,-247.573,249.275
2017,Schenectady,New York,894,164100,4653,1199,36519,1199,2596,3626,-246374,248970,2.596,-246.374,248.97
2018,Schenectady,New York,922,165400,4771,1196,35455,1196,3518,4822,-245178,248696,3.518,-245.178,248.696
2019,Schenectady,New York,945,169600,4749,1200,35654,1200,4463,6022,-243978,248441,4.463,-243.978,248.441
2020,Schenectady,New York,964,172500,4779,1227,36775,1227,5427,7249,-242751,248178,5.427,-242.751,248.178
2021,Schenectady,New York,1018,178000,4934,1267,39234,1267,6445,8516,-241484,247929,6.445,-241.484,247.929
2022,Schenectady,New York,1092,204400,5241,1362,40880,1362,7537,9878,-240122,247659,7.537,-240.122,247.659
2023,Schenectady,New York,1159,223100,5486,1439,42327,1439,8696,11317,-238683,247379,8.696,-238.683,247.379
2015,Schoharie,New York,733,147000,3222,952,9512,952,733,952,-249048,249781,0.733,-249.048,249.781
2016,Schoharie,New York,741,143700,3254,928,9287,928,1474,1880,-248120,249594,1.474,-248.12,249.594
2017,Schoharie,New York,781,143300,3271,941,9471,941,2255,2821,-247179,249434,2.255,-247.179,249.434
2018,Schoharie,New York,792,143500,3330,948,9415,948,3047,3769,-246231,249278,3.047,-246.231,249.278
2019,Schoharie,New York,790,144800,3427,937,9522,937,3837,4706,-245294,249131,3.837,-245.294,249.131
2020,Schoharie,New York,809,142600,3504,911,9630,911,4646,5617,-244383,249029,4.646,-244.383,249.029
2021,Schoharie,New York,847,151700,3735,927,9227,927,5493,6544,-243456,248949,5.493,-243.456,248.949
2022,Schoharie,New York,883,169400,3931,981,9510,981,6376,7525,-242475,248851,6.376,-242.475,248.851
2023,Schoharie,New York,916,182000,3977,984,9662,984,7292,8509,-241491,248783,7.292,-241.491,248.783
2015,Schuyler,New York,640,108500,2564,727,5933,727,640,727,-249273,249913,0.64,-249.273,249.913
2016,Schuyler,New York,708,111300,2592,760,5767,760,1348,1487,-248513,249861,1.348,-248.513,249.861
2017,Schuyler,New York,741,114700,2644,784,5688,784,2089,2271,-247729,249818,2.089,-247.729,249.818
2018,Schuyler,New York,730,121300,2775,808,5684,808,2819,3079,-246921,249740,2.819,-246.921,249.74
2019,Schuyler,New York,742,133100,2867,827,5505,827,3561,3906,-246094,249655,3.561,-246.094,249.655
2020,Schuyler,New York,765,127000,2941,775,5537,775,4326,4681,-245319,249645,4.326,-245.319,249.645
2021,Schuyler,New York,753,134400,3064,887,5689,887,5079,5568,-244432,249511,5.079,-244.432,249.511
2022,Schuyler,New York,808,151100,3246,934,5724,934,5887,6502,-243498,249385,5.887,-243.498,249.385
2023,Schuyler,New York,858,163300,3165,960,5780,960,6745,7462,-242538,249283,6.745,-242.538,249.283
2015,Seneca,New York,716,97000,2779,834,9806,834,716,834,-249166,249882,0.716,-249.166,249.882
2016,Seneca,New York,735,98200,2779,814,9922,814,1451,1648,-248352,249803,1.451,-248.352,249.803
2017,Seneca,New York,750,98400,2755,818,9912,818,2201,2466,-247534,249735,2.201,-247.534,249.735
2018,Seneca,New York,761,101400,2831,841,10003,841,2962,3307,-246693,249655,2.962,-246.693,249.655
2019,Seneca,New York,781,107100,2923,860,10022,860,3743,4167,-245833,249576,3.743,-245.833,249.576
2020,Seneca,New York,786,107500,2809,832,10011,832,4529,4999,-245001,249530,4.529,-245.001,249.53
2021,Seneca,New York,828,111800,2895,908,9929,908,5357,5907,-244093,249450,5.357,-244.093,249.45
2022,Seneca,New York,871,132000,3120,984,9882,984,6228,6891,-243109,249337,6.228,-243.109,249.337
2023,Seneca,New York,925,142700,3267,1012,9848,1012,7153,7903,-242097,249250,7.153,-242.097,249.25
2015,St. Lawrence,New York,700,87600,2048,748,29600,748,700,748,-249252,249952,0.7,-249.252,249.952
2016,St. Lawrence,New York,698,87400,2129,734,29591,734,1398,1482,-248518,249916,1.398,-248.518,249.916
2017,St. Lawrence,New York,723,88000,2208,730,30189,730,2121,2212,-247788,249909,2.121,-247.788,249.909
2018,St. Lawrence,New York,730,91600,2323,736,30183,736,2851,2948,-247052,249903,2.851,-247.052,249.903
2019,St. Lawrence,New York,741,93600,2414,738,30596,738,3592,3686,-246314,249906,3.592,-246.314,249.906
2020,St. Lawrence,New York,715,97000,2499,747,30387,747,4307,4433,-245567,249874,4.307,-245.567,249.874
2021,St. Lawrence,New York,741,99300,2572,780,29788,780,5048,5213,-244787,249835,5.048,-244.787,249.835
2022,St. Lawrence,New York,788,114700,2644,828,29521,828,5836,6041,-243959,249795,5.836,-243.959,249.795
2023,St. Lawrence,New York,799,119800,2735,868,29840,868,6635,6909,-243091,249726,6.635,-243.091,249.726
2015,Steuben,New York,658,91000,2525,742,28756,742,658,742,-249258,249916,0.658,-249.258,249.916
2016,Steuben,New York,675,94300,2615,748,28545,748,1333,1490,-248510,249843,1.333,-248.51,249.843
2017,Steuben,New York,691,95300,2654,754,28956,754,2024,2244,-247756,249780,2.024,-247.756,249.78
2018,Steuben,New York,692,98200,2703,769,28841,769,2716,3013,-246987,249703,2.716,-246.987,249.703
2019,Steuben,New York,695,99600,2756,778,28995,778,3411,3791,-246209,249620,3.411,-246.209,249.62
2020,Steuben,New York,714,104200,2849,802,29258,802,4125,4593,-245407,249532,4.125,-245.407,249.532
2021,Steuben,New York,755,108100,2917,826,28366,826,4880,5419,-244581,249461,4.88,-244.581,249.461
2022,Steuben,New York,832,121000,3100,893,28480,893,5712,6312,-243688,249400,5.712,-243.688,249.4
2023,Steuben,New York,878,128600,3245,924,28614,924,6590,7236,-242764,249354,6.59,-242.764,249.354
2015,Suffolk,New York,1544,375100,8449,2242,392390,2242,1544,2242,-247758,249302,1.544,-247.758,249.302
2016,Suffolk,New York,1589,376000,8679,2236,389182,2236,3133,4478,-245522,248655,3.133,-245.522,248.655
2017,Suffolk,New York,1646,379400,8902,2239,393065,2239,4779,6717,-243283,248062,4.779,-243.283,248.062
2018,Suffolk,New York,1698,386800,9157,2266,390897,2266,6477,8983,-241017,247494,6.477,-241.017,247.494
2019,Suffolk,New York,1742,397400,9428,2286,394236,2286,8219,11269,-238731,246950,8.219,-238.731,246.95
2020,Suffolk,New York,1810,413900,9598,2239,403707,2239,10029,13508,-236492,246521,10.029,-236.492,246.521
2021,Suffolk,New York,1895,436300,9911,2317,413763,2317,11924,15825,-234175,246099,11.924,-234.175,246.099
2022,Suffolk,New York,2113,490800,10001,2497,417769,2497,14037,18322,-231678,245715,14.037,-231.678,245.715
2023,Suffolk,New York,2190,539500,10001,2549,419631,2549,16227,20871,-229129,245356,16.227,-229.129,245.356
2015,Sullivan,New York,841,165900,3968,1058,18611,1058,841,1058,-248942,249783,0.841,-248.942,249.783
2016,Sullivan,New York,862,165900,4126,1037,18762,1037,1703,2095,-247905,249608,1.703,-247.905,249.608
2017,Sullivan,New York,860,167900,4357,1047,18521,1047,2563,3142,-246858,249421,2.563,-246.858,249.421
2018,Sullivan,New York,876,169500,4456,1066,18872,1066,3439,4208,-245792,249231,3.439,-245.792,249.231
2019,Sullivan,New York,890,172800,4542,1085,19255,1085,4329,5293,-244707,249036,4.329,-244.707,249.036
2020,Sullivan,New York,886,175900,4621,1075,19980,1075,5215,6368,-243632,248847,5.215,-243.632,248.847
2021,Sullivan,New York,933,185700,4740,1116,19948,1116,6148,7484,-242516,248664,6.148,-242.516,248.664
2022,Sullivan,New York,996,220200,4954,1223,20660,1223,7144,8707,-241293,248437,7.144,-241.293,248.437
2023,Sullivan,New York,999,234800,5082,1256,20934,1256,8143,9963,-240037,248180,8.143,-240.037,248.18
2015,Tioga,New York,644,112600,2803,855,15585,855,644,855,-249145,249789,0.644,-249.145,249.789
2016,Tioga,New York,661,112300,2922,823,15415,823,1305,1678,-248322,249627,1.305,-248.322,249.627
2017,Tioga,New York,695,113000,2981,822,15422,822,2000,2500,-247500,249500,2.0,-247.5,249.5
2018,Tioga,New York,736,117100,3069,847,15427,847,2736,3347,-246653,249389,2.736,-246.653,249.389
2019,Tioga,New York,751,119700,3117,872,15409,872,3487,4219,-245781,249268,3.487,-245.781,249.268
2020,Tioga,New York,782,119800,3234,867,16071,867,4269,5086,-244914,249183,4.269,-244.914,249.183
2021,Tioga,New York,829,122900,3358,888,15843,888,5098,5974,-244026,249124,5.098,-244.026,249.124
2022,Tioga,New York,894,144200,3590,964,15821,964,5992,6938,-243062,249054,5.992,-243.062,249.054
2023,Tioga,New York,914,153200,3750,1017,15811,1017,6906,7955,-242045,248951,6.906,-242.045,248.951
2015,Tompkins,New York,988,176500,4363,1141,21356,1141,988,1141,-248859,249847,0.988,-248.859,249.847
2016,Tompkins,New York,1011,182600,4538,1157,21175,1157,1999,2298,-247702,249701,1.999,-247.702,249.701
2017,Tompkins,New York,1055,190100,4663,1145,21630,1145,3054,3443,-246557,249611,3.054,-246.557,249.611
2018,Tompkins,New York,1107,199400,4994,1205,21749,1205,4161,4648,-245352,249513,4.161,-245.352,249.513
2019,Tompkins,New York,1164,204600,5217,1240,21755,1240,5325,5888,-244112,249437,5.325,-244.112,249.437
2020,Tompkins,New York,1144,218700,5466,1260,22025,1260,6469,7148,-242852,249321,6.469,-242.852,249.321
2021,Tompkins,New York,1218,228900,5761,1299,23248,1299,7687,8447,-241553,249240,7.687,-241.553,249.24
2022,Tompkins,New York,1320,264300,6229,1379,23328,1379,9007,9826,-240174,249181,9.007,-240.174,249.181
2023,Tompkins,New York,1374,271500,6374,1390,23291,1390,10381,11216,-238784,249165,10.381,-238.784,249.165
2015,Ulster,New York,1013,222800,5147,1382,47908,1382,1013,1382,-248618,249631,1.013,-248.618,249.631
2016,Ulster,New York,1022,219800,5203,1388,48343,1388,2035,2770,-247230,249265,2.035,-247.23,249.265
2017,Ulster,New York,1053,221600,5296,1379,48343,1379,3088,4149,-245851,248939,3.088,-245.851,248.939
2018,Ulster,New York,1086,225500,5409,1379,47815,1379,4174,5528,-244472,248646,4.174,-244.472,248.646
2019,Ulster,New York,1112,230500,5456,1356,47321,1356,5286,6884,-243116,248402,5.286,-243.116,248.402
2020,Ulster,New York,1119,239400,5534,1361,48108,1361,6405,8245,-241755,248160,6.405,-241.755,248.16
2021,Ulster,New York,1175,252300,5787,1409,49479,1409,7580,9654,-240346,247926,7.58,-240.346,247.926
