RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30
102001,0,United States,country,,1164.7443109605488,1172.1925745032675,1183.19186044029,1192.068061996438,1201.4686115246918,1209.335534283634,1216.0064045404547,1220.2583621439233,1222.1764511025933,1222.235367495903,1221.5014148133057,1220.5553077335562,1223.1433117136805,1228.2177542197232,1234.421245300525,1242.8669731443529,1252.1580073945436,1261.6202916460609,1266.85413696785,1269.4429436521427,1270.0958869296544,1268.1014476533496,1265.7929706330992,1263.7517760608378,1266.8633954454365,1272.7677125657922,1282.4638229041975,1291.1359552866938,1300.513731286044,1307.4050370306177,1311.770138726976,1312.2131693046742,1310.5960473848693,1306.9896343293285,1304.8765030545328,1304.9567394672088,1309.0362943292362,1316.0390142240774,1324.6813255005957,1333.7629961308905,1341.7523075709023,1349.9653785989876,1356.2575870903993,1359.8397892704209,1358.1157629397796,1355.4550924174655,1353.8851842401891,1354.024542164556,1357.5345674379112,1362.8176181232297,1372.5400506683918,1381.2981430391774,1390.7810239782239,1399.4562569828474,1406.2639266976678,1409.3767880699354,1407.608867549653,1403.9182975983515,1400.364491424598,1400.3488008935776,1404.0114075940085,1411.3707807202195,1416.35142785325,1412.1296101174821,1404.8324079223994,1400.239094654707,1401.2928349563042,1397.838813820335,1389.569562446077,1380.3113829484548,1373.1442395478239,1371.979046623761,1379.230387240678,1391.3390359660252,1406.2909989963339,1424.453436988837,1449.9611399073203,1480.4074878699212,1512.5434759911373,1541.8656702715737,1565.229245516212,1577.9224764227858,1585.0632263664493,1592.0370747132251,1600.6124047444926,1612.4415346844673,1625.1780647944602,1643.8157382197892,1665.8680301793886,1689.0148312969213,1708.4248829247688,1717.4436237365483,1717.2496755465118,1707.6807068111036,1697.9246519990957,1691.4176297943393,1691.9580159697882,1697.7737121819514,1709.8553089323,1719.5579145615745,1730.6845677204901,1737.003428920122,1744.216754804844,1746.442057953977,1743.72852547493,1737.5606121565806,1729.800399953772,1724.9745940196597,1726.7210264465427,1734.0244365454862,1744.2436540972135,1754.7514404808408,1765.726703107185,1775.1185095090018,1780.9258809230464,1781.3064794455313,1779.1880958892627,1774.1783146704288,1770.4702926978832,1767.633442370319,1772.2418376905302,1780.6183770942134,1792.6461281308318,1802.1266020778012,1809.1588860428785,1813.2896845800187,1814.110478206825,1812.7549266971482,1809.1864000250996
394913,1,"New York, NY",msa,NY,2314.2593632106073,2327.3841053367028,2346.7923617216725,2369.5191471926687,2389.621404450369,2408.3805812448195,2420.0261692921877,2430.3157237615983,2433.426320077707,2431.433772346429,2419.7638576499826,2407.7311925096183,2401.9942336167887,2405.2424155464587,2416.5145741121637,2430.844878935782,2447.5923692581555,2462.8602856850935,2477.1526440017747,2484.311533975049,2486.054015614539,2477.633165110648,2469.1585794861217,2455.5756199086945,2448.6647097510995,2447.3893208441928,2457.1838220827844,2472.558161840348,2492.164248094009,2509.204406464852,2521.7828364225325,2525.369231393203,2519.5943631711275,2502.2305331451767,2484.2597738872423,2471.743806122802,2470.4496811695185,2476.786744561309,2490.5160434136624,2511.614581113712,2532.3594100572386,2551.8560499881787,2565.887642205212,2575.6921870933847,2576.2315132290046,2565.7556939474107,2552.9765269261347,2541.1621627598006,2540.6788960340436,2549.8505155145867,2564.778890383902,2584.507960704283,2605.7057173771036,2630.89018608833,2649.2604655834093,2660.6886315436973,2661.391946786743,2653.1211669094873,2639.060580875493,2627.342960709175,2627.5076305629746,2639.7711979043597,2649.0937170388347,2638.631212920751,2617.905857621876,2590.8135168084095,2562.6204700044314,,,2406.3130584185997,2370.424505956552,2355.3821109319706,2355.0129332743863,2372.3723967916935,2394.9023818497444,2425.7007456774863,2471.871160863593,2529.469748410299,2595.6552690046465,2658.7304971005487,2711.0807858840326,2744.3083299769105,2768.0369127082568,2786.260255207263,2811.987584899659,2842.0886564704983,2881.232921678666,2922.7992396216105,2976.1709532636132,3033.4222144123637,3085.0710746633085,3114.1615647190993,3118.1185169179766,3101.155953097718,3072.1395672528893,3050.0965438594167,3045.7977737694882,3057.5008599815033,3082.847947713283,3115.420999839548,3153.1481398899878,3186.5952326403517,3209.3910468520658,3220.368763273017,3218.22264014152,3203.106350286491,3179.0355721112446,3161.443088079215,3163.9455764788895,3181.8423549438844,3210.8239678950276,3241.6535382523316,3275.5060408810236,3306.518035023192,3323.150840039038,3327.8391228348046,3317.188612821025,3302.6318201862396,3291.6659464628374,3283.40091271661,3292.3574536666542,3312.1051864150586,3345.6247875476683,3377.3980477697564,3405.442187125386,3439.455631815227,3471.8644769086773,3495.410440522422,3493.2059750991793
753899,2,"Los Angeles, CA",msa,CA,1671.8759621281017,1684.6701133916465,1701.6095696538443,1720.57887300289,1735.0648643883096,1747.5312194979767,1758.6930257457298,1772.3370265248702,1785.6779486046735,1793.166750347349,1801.9342599799327,1807.1099462680604,1817.097777998789,1826.8167944661207,1838.2149785466897,1848.2397986745352,1857.274086156071,1868.4249836988292,1883.2829774639927,1894.0359902605219,1904.2950867028014,1911.6980521331743,1921.0044016736833,1928.620607614996,1939.1968401168315,1951.4839210524854,1970.8051162664547,1985.5126541359505,1996.5751871159314,2006.825455405242,2016.9128133686295,2025.6509430198207,2030.0475618034693,2030.2769117617217,2033.6048814802969,2037.3139832063946,2046.3919164650165,2058.4895448383627,2066.956654092066,2075.9131582983123,2081.5599735193136,2094.021315467896,2105.560460296579,2119.1857956177923,2124.84659112661,2127.9624497333816,2126.1513848939867,2128.055975703314,2131.7428348916724,2137.5252934608666,2148.5250914250187,2158.5997907210726,2168.0529354013274,2178.0193570453816,2184.857412549612,2193.8190407094644,2196.7147876248014,2198.5272755838423,2198.931430180807,2200.8751061338817,2206.430705407586,2207.939766811655,2203.6968005005797,2187.1719712035556,2171.482517750437,2159.2931396210915,2153.7414115686797,2149.216868140981,2144.833062992825,2143.9995430006256,2141.0396264856304,2139.8407224993957,2146.486289428956,2157.338450486572,2169.0120052630673,2179.4836149758416,2196.8043625196647,2232.015045884617,2278.772689922548,2333.319022730929,2374.71706599804,2400.6381446557484,2412.289989995571,2426.4436481108005,2442.7256151295223,2465.256640391335,2486.144577777197,2513.4387281097056,2537.5388564938653,2561.2145501330624,2580.1987844001883,2596.6136608952443,2601.645319415363,2593.511032763642,2583.7774775513562,2572.693910392216,2568.5352895108663,2570.82307865213,2581.814862169652,2589.6235917778695,2593.9054429463968,2598.469609581913,2609.1058290434626,2618.501842569297,2621.9068388653295,2618.9579381245862,2606.0730921009467,2595.7709825169195,2595.17442396598,2602.8123293072854,2613.6164718303035,2619.574462506266,2629.2027943930407,2638.180698492504,2648.5665968161784,2653.044868304913,2657.887288825684,2657.207788066997,2653.417584944785,2646.798041844881,2653.3586310254354,2667.4691605575167,2682.5103607811275,2687.2768635588095,2692.305415841397,2697.7933815200004,2699.366262718267,2701.032673687843,2699.9183153204726
394463,3,"Chicago, IL",msa,IL,1328.9270778104526,1335.8874122881202,1345.2404348770651,1352.829003412748,1363.199161126119,1374.18969200371,1378.6375196063825,1381.8340208861005,1375.8486336934916,1370.0042849932493,1363.3405707765546,1363.956022801105,1374.534899816302,1383.682529841169,1395.4687711850527,1400.2402488121359,1409.1769882361957,1418.1542294606074,1425.3028380611117,1429.4276617196238,1421.4985604168392,1412.8690665625593,1399.5525830994775,1395.0368888702176,1398.4561763645922,1412.902827510393,1429.8529068695873,1442.9310866235019,1453.9356700200021,1460.17027936054,1461.7242761839193,1456.0258318701221,1449.3981011616538,1438.776355009119,1431.2180211404443,1427.9520230303488,1436.828736781089,1448.4814931299425,1461.7665822652234,1470.564322058879,1481.127853128886,1489.8518915347358,1494.8659363053557,1492.0931835181489,1479.6660426209385,1466.0276425624645,1458.3969677417365,1462.501089886052,1472.3906405839557,1483.421642867681,1497.5282702345066,1510.7960794923524,1522.584236093477,1528.454246402176,1530.8062242867916,1529.241131874527,1523.5743257512815,1516.6033375179,1509.8974071869723,1504.2686948265969,1512.5680163700645,1523.6974369551456,1538.4547679450532,1537.280206176241,1534.1227933978596,1528.2934464342227,1525.7678787717919,1517.5416084488652,1501.6423642981492,1477.284518622721,1458.1892197339807,1449.7454410261726,1453.2752715384368,1465.2804739884539,1482.8099159444616,1509.4832461521075,1536.1749611976222,1561.3770741429878,1579.1248555870302,1590.3056849116397,1595.0935977465442,1591.6493430286619,1590.5624065670147,1595.0230541338747,1609.177820246554,1624.4296769243047,1643.755317473043,1667.089830586643,1692.771473417661,1713.253258111451,1728.9379956280827,1735.0868436165988,1733.842249778956,1726.8513837746482,1720.3568358941113,1720.0464112877273,1726.2936062561116,1740.9814025881744,1758.9646259318777,1778.0129953959276,1798.2269019576813,1815.0522072118488,1825.4282436511278,1829.9712601109798,1824.5202039739659,1815.4811051059387,1806.1033611297541,1806.1867164664357,1814.1398073313885,1828.5812169013511,1844.4280795389768,1864.306603569406,1881.678993466133,1897.7592306457373,1904.2829692499017,1904.5093100363906,1900.272582751644,1896.9980929750911,1895.9791979422182,1898.8403703305635,1906.9330391901199,1924.363869662209,1944.365714373887,1967.9905075978224,1987.8292992897038,2007.0026703564536,2015.6312842922732,2017.713680804663,2013.569382695555
394514,4,"Dallas, TX",msa,TX,1034.0966695200743,1027.633661111321,1032.5563394278117,1051.980883924482,1063.3953042625349,1075.9870294647562,1079.3445851821089,1083.3040070541226,1084.4032138966368,1083.691463190371,1090.5205110473798,1101.3499171573396,1102.0494332884773,1102.0049834576419,1110.3068944057566,1126.6336012361976,1136.7021326339582,1142.4822958347147,1146.6426292329763,1152.8143906023238,1155.2172833968798,1164.5917220170338,1170.2766144642824,1172.3560474257722,1173.3006174558336,1172.6794390715163,1186.6934456541367,1193.9413921845235,1210.8023591927622,1215.6139833890538,1219.6769632811324,1217.6514182124563,1213.7517224064945,1208.3785154545599,1210.6542792306986,1207.62289236207,1213.1893303384024,1217.2235443138845,1224.9836550967257,1229.5490987123333,1234.4067460748545,1243.779175078324,1250.9244312569149,1251.2264448956707,1244.2602928867102,1245.2550206847563,1245.419029586496,1248.2000137482712,1246.3735695000125,1248.5814421813102,1259.3979865854762,1267.0319343733584,1273.6733740657342,1281.2850090742206,1286.1673763652038,1289.0498252189589,1285.9271462257557,1282.734921806557,1276.7281438252753,1270.7112392717045,1270.9818522038747,1277.1628030241636,1282.159442371641,1279.4683181749042,1272.4513951497856,1268.560959255406,1268.3596570269137,1269.6722959662607,1269.7418488968292,1269.0216024640004,1266.1663843086978,1267.1515075189814,1272.5116570338182,1282.967624983697,1292.258152636903,1308.9882077306065,1331.502622342296,1363.4596439434733,1397.1485500092776,1429.507242801079,1453.118266737667,1465.4116193856712,1475.0562192387206,1483.8506605828575,1494.8167316741587,1504.8794512155446,1515.5651629677052,1532.9714093329308,1554.8208389676308,1583.2791909387968,1604.8747684226867,1612.0426199463286,1606.371852849993,1587.1906867205648,1572.3599755448229,1558.904671167001,1557.2330152920508,1558.384819739733,1567.3974188249397,1568.8126385113494,1573.1914267374066,1573.1929451866793,1578.1454532483774,1576.7732385536929,1570.714723794639,1561.8965196671697,1552.1033325036647,1542.1476863401683,1536.4412490984334,1532.990017715019,1534.0167124387697,1536.371130405114,1541.7091632150189,1545.7934521726004,1547.890795205985,1546.1142008464547,1539.4776471751916,1533.8574567072412,1527.2943847869346,1523.8528757008544,1521.1095396077935,1525.2510252524157,1532.4808156907661,1541.6019430874312,1543.8706947084927,1543.4943480834365,1539.352055507793,1536.0612866947856,1530.759129048062
394692,5,"Houston, TX",msa,TX,1117.2561651763056,1134.8050241093351,1137.8746727271391,1144.0715494510093,1146.181110169816,1154.6431341796736,1163.3605950505048,1172.0959488875167,1182.1950855347366,1178.6354680945344,1177.404611964027,1172.955811247004,1165.4998916068587,1168.127454507731,1179.5913417770746,1198.5229465369748,1203.2558040596266,1201.6476623583371,1199.7995187265371,1192.2915001042302,1189.3032285544448,1188.4308680491279,1185.1088729336163,1183.977969116945,1177.9586696273855,1186.559213991635,1190.274240461884,1187.0839584319265,1194.9184271996055,1189.1709817064734,1188.4044221021516,1174.9147063754585,1184.429313954153,1197.9031803970265,1220.424254248152,1234.3058341040291,1235.3137161218167,1237.192839890822,1234.1997420148693,1243.4916747137295,1242.1776612935803,1243.567390629449,1242.2076528528398,1239.760034823697,1236.1145902266067,1237.2191470022385,1240.8618475251246,1238.7953045019199,1234.979475472165,1229.8200527784963,1235.2406758129807,1237.2778658126254,1244.1620835604353,1249.7776139832533,1254.5015842299456,1253.9748906774487,1248.0580422897488,1246.5446750246397,1245.8196759473888,1250.2584991021645,1250.5729134850235,1256.1193083169203,1258.3718571577192,1251.8042772839847,1236.825516179746,1226.2118867119218,1225.0177676105013,1227.8162420453095,1224.5676208538528,1223.9622354951127,1223.6745932022006,1221.4242606431587,1221.843589320831,1221.2162340429848,1230.2467630757637,1242.3354771172435,1261.9355731697976,1287.5106715038758,1313.2066261257653,1336.1117931001395,1348.942715795224,1353.7988049190974,1355.5074205653593,1356.6274164425952,1360.565072310955,1368.781616329188,1378.7233291211742,1390.6967130491826,1401.595830209408,1415.0094485521952,1425.3598669369815,1429.9504639061636,1426.4143249919873,1418.0329851620243,1408.7648942394544,1405.5106119580475,1408.8377436051821,1416.2712098067793,1425.9458491059606,1429.8203922698701,1436.2019454485785,1440.0963231035976,1442.7529557782434,1441.4321521218833,1434.8487659567027,1428.4192817492417,1421.7290553181113,1419.1424750550104,1420.3672002684677,1422.322174962302,1424.9282542426947,1430.0972413075522,1437.8297820139173,1443.6612850364177,1445.6025452255565,1444.9003937765833,1444.7211253891196,1443.3824966783163,1439.7580769981487,1436.9490246295384,1437.2379438073704,1441.3885742474758,1450.6564875314587,1454.4854335344694,1454.453313376096,1444.0167477939456,1443.211519315515,1441.169448284312,1442.569681235627
395209,6,"Washington, DC",msa,VA,1749.7025884565362,1736.679394079501,1747.6404225536392,1760.1450253251733,1778.4982672989556,1784.6223381007346,1795.1756534963056,1781.8493730010157,1787.0075641216,1787.4369406956052,1797.4041036228534,1787.334966297535,1781.3507243838326,1772.6368281944285,1780.771932777199,1792.9876082857847,1805.0724508102394,1814.231879634693,1826.407844901142,1832.1824238142217,1826.1151953091985,1808.5554555187434,1801.883542229249,1802.1625924955083,1810.946779062946,1824.053941391932,1836.1456587059952,1843.6565413172275,1849.9779572803045,1860.7946633580143,1868.9244835893528,1867.255091299132,1859.4397351886,1853.706165896137,1840.854377829428,1827.6596842900287,1821.000057910936,1828.5838487822984,1849.4196164336265,1866.521252793734,1879.9921377148678,1891.4544824287966,1900.2552040238527,1907.55167040515,1900.160642693434,1895.6641797179004,1892.7506103248531,1896.9279143810234,1899.7009774131616,1903.0254249893517,1909.1937868669393,1919.7560619579795,1936.2500229084933,1950.2808639898558,1959.134282887347,1955.4365691299454,1951.4084702410546,1939.6357097930309,1932.0970942453953,1932.3419348980483,1937.242573328011,1943.3508669949501,1946.6807156287875,1939.9152944304901,1928.4705457444068,1915.1091087201119,1907.1450173609321,1897.3896814429474,1876.1845590909682,1852.5837722500416,1824.2220559066557,1812.6618353767465,1814.7356460238143,1828.6646897748985,1838.0599849373323,1852.7669676884732,1880.5809222855248,1922.7619174390911,1964.49441731558,1998.906667499295,2017.8915515966912,2026.812281054329,2024.0444199616907,2021.589388058204,2019.176078108157,2028.1218990754678,2044.31315767694,2067.608326685025,2094.440735962835,2123.2388076305906,2151.3809174680864,2163.8522985164495,2160.9228229540827,2139.0923479873604,2116.039402556129,2097.7445911868926,2097.2972113518954,2109.134851633611,2135.092334105995,2149.8193012443035,2166.907390697358,2175.1862995267766,2191.323339943682,2200.0320244540576,2200.940195218418,2194.503928621274,2184.125910402541,2174.5511571047396,2177.0497020852094,2190.9605634460963,2211.1063712675204,2229.1210377235616,2247.815659502006,2266.914472456149,2281.255461380429,2286.205588409595,2282.8903148618406,2271.407764603069,2258.9940945531375,2250.4810575875495,2258.7429677484615,2274.9913522114985,2295.350590036269,2308.593695875584,2315.463725860248,2316.9513075768696,2311.807044449866,2303.0007675756397,2288.661812619417
394974,7,"Philadelphia, PA",msa,PA,1230.235352707047,1234.0948580812117,1249.973505974269,1257.3823327910397,1261.6803582604175,1265.4066018526007,1267.8175603272,1269.598415371406,1266.3580599920529,1263.9267137091508,1261.242003280767,1254.1784266274276,1256.4187531832124,1266.9233790282617,1278.550018815324,1285.3130090551654,1291.9272408394258,1302.1828597221884,1303.6762956299076,1300.45214682335,1298.2413077475476,1294.9060506127114,1298.291645647922,1294.3205240457771,1298.634573862888,1303.584236402023,1316.9787809025363,1325.579619543898,1331.0705114494742,1333.4825544396679,1333.8143705671764,1332.00713248456,1326.6182278887563,1323.51555308024,1320.3072126802276,1325.4117196215554,1331.337921276759,1342.984084581682,1352.6651702626705,1361.2280897931184,1367.1638596400771,1371.3455552562343,1373.7995888553635,1373.8087832533852,1368.3704933569543,1367.2383099812084,1368.2701257796782,1370.9698094562686,1375.2462195191906,1381.4491199604563,1397.6992782585817,1408.575150175417,1415.9530754631492,1423.4440906439381,1428.8064227519126,1428.307784205447,1422.2362796550897,1416.6990193150923,1415.746495553936,1415.5055218335021,1418.4746470160644,1429.898371064779,1440.3024602958385,1443.4734650776352,1439.6847964477406,1438.1574167581196,1440.892110827245,1437.840361106621,1432.1925393463648,1427.1167355110701,1424.3722383991992,1423.8138266450273,1427.7018229384294,1436.2093365237222,1448.6296261544762,1465.7041923285394,1489.1753176001273,1511.7281596942425,1531.6273020387266,1547.0335452530805,1557.7936741029594,1564.7553403550914,1570.046043793312,1582.1021569400154,1591.4583087226079,1604.184571316897,1613.9170633529038,1628.7497040943974,1643.3509998778927,1658.2493106005286,1669.7908646953751,1673.0124032195824,1669.8992399220863,1660.56808704297,1654.2391379895007,1649.8652036520905,1653.2365686155658,1654.974830892232,1666.2932909509782,1675.4721886524164,1689.2135849060426,1693.8389645042737,1700.0055842952895,1703.1254010002697,1703.4695626405435,1697.578987042494,1691.051730407233,1687.9820782521172,1692.019881799053,1701.7694297545472,1710.8911889129793,1721.2499660501674,1729.8592319958077,1739.7763434443466,1744.52110896602,1744.686849989707,1740.6390423222592,1737.5503113559703,1736.7703633323601,1740.9903034637452,1748.0285823607435,1755.4067196297406,1761.114791158818,1766.3046985219776,1772.9080611535614,1780.1070751300438,1791.1949983097809,1793.6719607716914,1794.6208535881672
394856,8,"Miami, FL",msa,FL,1364.1831416882937,1370.7727453734553,1380.4923001265126,1387.6925555167215,1394.4112108985378,1395.5549345081204,1406.465183276658,1416.3289009623725,1432.9569381207082,1433.844801870352,1442.8816277203566,1435.7145473415162,1449.5132429932955,1454.1763877497947,1471.938446310803,1477.3260463904599,1479.8606647219353,1479.4416021253296,1482.6761778704804,1483.2174058877997,1490.8339455771222,1490.1406483318233,1499.6477632501396,1496.1444645308363,1504.4956726039302,1507.3975262296267,1514.334671805642,1520.1584641633374,1521.3181706874866,1527.3382303664941,1525.9664949943103,1532.0310405416428,1537.711225445644,1544.5264419439723,1544.8586917546822,1545.0242261244466,1544.3190066473728,1548.726270883729,1554.8696823732482,1561.6927211836596,1565.157927540226,1571.8827608015092,1578.3718453043534,1582.3057037587248,1583.0136838558496,1590.8148027106283,1602.5428342830655,1609.1836765573723,1610.8669761463725,1607.9981066957794,1611.8545620957366,1611.0139683967204,1619.518004251774,1622.8430675893273,1627.8818342080995,1627.9440718593983,1630.6800825663202,1640.2248585253944,1654.7816804701633,1666.5198145981515,1671.869787894979,1672.950274361132,1676.7030361188852,1670.0652735942936,1659.5489916971983,1649.0067134144622,1646.7411027858318,1646.8601129579836,1646.7588634644167,1652.6203301506132,1663.798366144354,1674.8591688398587,1692.2335290909755,1710.9074851886098,1739.7486134745209,1766.8720223546334,1808.2524720753195,1856.2123514780603,1923.2156086902817,1984.252282206697,2038.505852448926,2076.784670416547,2115.0214675993907,2153.4230890121776,2185.255494949182,2212.656756876427,2240.7689245680235,2274.6441045603706,2307.038098731077,2331.7065148327783,2347.4205884333105,2346.0573631640605,2349.1389860344193,2343.354020052261,2348.0117237402396,2350.427451832076,2357.689098377352,2367.3900500313443,2374.3319164536265,2380.636297356518,2381.0903435315463,2379.2479794573114,2374.2084849448365,2372.827471000171,2368.213391653374,2371.697273616065,2369.2423336008897,2368.3799174944884,2371.707813006537,2383.9931862850763,2399.4106320905657,2408.5785581847526,2414.6980367609135,2415.310452799447,2416.5365480081978,2411.260907663724,2411.2327031857453,2412.5681726294115,2417.8153785534214,2423.143884782184,2430.4801786107228,2440.165284773368,2452.2919362650205,2457.052846855671,2459.6565803537947,2455.1540732867848,2454.0083646116905,2449.4208575405614,2446.5845495886624
394347,9,"Atlanta, GA",msa,GA,998.6682714302551,997.030735986532,993.4240403366778,1019.896392422447,1033.42242422115,1056.108120197552,1058.955800228611,1054.7321428165885,1045.9916894795538,1055.4422465465452,1077.4957987269584,1090.1587432878362,1086.919976649093,1088.0237586000462,1099.9736257048964,1111.14049734519,1121.783254170312,1132.1384437251297,1144.0772826521884,1149.6753987488225,1151.4092830924712,1153.1108401974473,1157.6649357224246,1155.6444815607745,1158.2629524363008,1165.7204126097226,1178.3617901530365,1194.705144434643,1206.3509165498433,1215.3542868920335,1221.026256386598,1223.2740833063554,1227.9886387492554,1226.7647284732088,1223.3691977753508,1221.0608554361963,1226.917347059911,1237.619390696382,1248.894028929646,1259.089800006459,1272.3991244675192,1283.191647813515,1290.563056862407,1295.357021776487,1296.9434107930078,1305.771581395086,1306.38031822789,1307.9417430730698,1310.7085316416558,1317.0324302959564,1328.5970386485947,1336.7604980026292,1344.8913297183228,1352.2959667573123,1355.6695700365212,1360.519895536027,1357.7355014424045,1354.100199984034,1344.31603635569,1344.3265029273725,1347.8446654807,1358.156974615943,1359.9820785544698,1352.6326456907705,1343.1718508500717,1342.9825399188815,1354.7317500987465,1364.211107541211,1368.315705802888,1367.7876813975329,1369.662587689147,1375.0309630777697,1384.9589413679807,1398.3049164909723,1411.9768239043633,1433.0173521540464,1462.9838344469317,1506.6608950795112,1558.3221735538687,1609.075468471097,1648.7337194565953,1670.825011051566,1677.7157070924275,1675.272708036756,1670.6571353875754,1670.1704155586106,1678.163119400357,1687.6077504418538,1705.616102848123,1724.1304056828965,1747.0627140449828,1755.2230496745867,1752.2217287206192,1732.223875543319,1712.8012854000517,1696.3336572019289,1692.196204360844,1694.8432074951488,1706.4453765065061,1709.947380621064,1712.2378884147631,1709.750206790606,1709.706572178772,1703.2089365999834,1692.5892573549384,1676.1407354063874,1660.7896452810016,1645.1696619173338,1642.3361623694661,1646.2912103145272,1651.492908042333,1655.1086768786402,1660.921258329588,1664.2126456700933,1664.9946611591697,1656.497898019397,1655.3894587448938,1647.0333925247237,1642.1815794140123,1633.9865228337726,1639.256329603975,1648.9578907902296,1660.4105312977433,1665.9520046120074,1669.2281240620146,1673.328166363613,1677.5851437716124,1681.7401265638248,1679.1254695035468
